Группа_Компаний,Юр_Лицо,ИНН,Год,Бассейн,Объект_Лова,Тип_Квоты,Доля_%,Объем_Тонн,Дата_Начала_Договора,Дата_Окончания_Договора,Причина_Изменения
,ООО «АЗИМУТ»,1001345828,2026,Северный,Путассу,Промышленная,,2.114,nan,nan,
,ООО «АЗИМУТ»,1001345828,2026,Северный,Сельдь,Промышленная,,14.3,nan,nan,
,ООО «АЗИМУТ»,1001345828,2026,Северный,Скумбрия,Промышленная,,1.71,nan,nan,
,ООО «СОГЛАСИЕ»,1002006360,2026,Северный,Пикша,Промышленная,,0.635,nan,nan,
,ООО «СОГЛАСИЕ»,1002006360,2026,Северный,Треска,Промышленная,,0.697,nan,nan,
,"ООО ""РЫБОТОРГОВАЯ СЕТЬ""",1002007733,2024,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Пикша,Инвестиционная,2.91,335.116,10.08.2018,09.08.2033,
,"ООО ""РЫБОТОРГОВАЯ СЕТЬ""",1002007733,2025,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Пикша,Инвестиционная,2.91,305.247,10.08.2018,09.08.2033,Регулятор/Инвестквоты
,"ООО ""РЫБОТОРГОВАЯ СЕТЬ""",1002007733,2026,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Пикша,Инвестиционная,2.91,368.464,10.08.2018,09.08.2033,
,"ООО ""РЫБОТОРГОВАЯ СЕТЬ""",1002007733,2024,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Треска,Инвестиционная,2.91,1122.643,10.08.2018,09.08.2033,
,"ООО ""РЫБОТОРГОВАЯ СЕТЬ""",1002007733,2025,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Треска,Инвестиционная,2.91,839.366,10.08.2018,09.08.2033,Регулятор/Инвестквоты
,"ООО ""РЫБОТОРГОВАЯ СЕТЬ""",1002007733,2026,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Треска,Инвестиционная,2.91,701.682,10.08.2018,09.08.2033,Биология/ОДУ
,ООО «РЫБОТОРГОВАЯ СЕТЬ»,1002007733,2026,Северный,Пикша,Промышленная,,368.464,nan,nan,
,ООО «РЫБОТОРГОВАЯ СЕТЬ»,1002007733,2026,Северный,Треска,Промышленная,,701.682,nan,nan,
ГК Норебо,"АО ""КАРЕЛЬСКИЕ МОРЕПРОДУКТЫ"" ИЛИ АО ""КМП""",1011005348,2024,Северный,Креветка,Международная,4.517,805.155,08.07.2022,07.07.2037,
ГК Норебо,АО «КАРЕЛЬСКИЕ МОРЕПРОДУКТЫ» ИЛИ АО«КМП»,1011005348,2026,Северный,Креветка,Промышленная,,4.517,nan,nan,
ГК Норебо,АО «КАРЕЛЬСКИЕ МОРЕПРОДУКТЫ» ИЛИ АО«КМП»,1011005348,2026,Северный,Пикша,Промышленная,,1.418,nan,nan,
ГК Норебо,АО «КАРЕЛЬСКИЕ МОРЕПРОДУКТЫ» ИЛИ АО«КМП»,1011005348,2026,Северный,Треска,Промышленная,,1.753,nan,nan,
,РЫБОЛОВЕЦКИЙ КОЛХОЗ «ЗАРЯ СЕВЕРА»,1011007024,2026,Северный,Пикша,Промышленная,,0.143,nan,nan,
,РЫБОЛОВЕЦКИЙ КОЛХОЗ «ЗАРЯ СЕВЕРА»,1011007024,2026,Северный,Треска,Промышленная,,0.125,nan,nan,
,КОЛХОЗ «БЕЛОМОР»,1011007070,2026,Северный,Пикша,Промышленная,,0.32,nan,nan,
,КОЛХОЗ «БЕЛОМОР»,1011007070,2026,Северный,Треска,Промышленная,,0.334,nan,nan,
,"ООО ""РК ""ВИРМА""",1011008571,2025,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Пикша,Инвестиционная,2.424,254.268,24.05.2018,23.05.2033,
,"ООО ""РК ""ВИРМА""",1011008571,2026,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Пикша,Инвестиционная,2.424,306.927,24.05.2018,23.05.2033,
,"ООО ""РК ""ВИРМА""",1011008571,2025,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Треска,Инвестиционная,2.424,699.183,24.05.2018,23.05.2033,
,"ООО ""РК ""ВИРМА""",1011008571,2026,Район действия Соглашения между Правительством СССР и Правительством Королевства Норвегии о сотрудничестве в области рыболовства от 11.04.1975 и Соглашения между Правительством СССР и Правительством Королевства Норвегии о взаимных отношениях в области рыболовства от 15.10.1976,Треска,Инвестиционная,2.424,584.494,24.05.2018,23.05.2033,Биология/ОДУ
,"ООО ""РК ""ВИРМА""",1011008571,2024,Северный,Креветка,Международная,6.828,1217.091,08.07.2022,07.07.2037,
,ООО «РК «ВИРМА»,1011008571,2026,Северный,Креветка,Промышленная,,6.828,nan,nan,
,ООО «РК «ВИРМА»,1011008571,2026,Северный,Пикша,Промышленная,,0.183,nan,nan,
,ООО «РК «ВИРМА»,1011008571,2026,Северный,Треска,Промышленная,,0.259,nan,nan,
,ООО «ПКФ «БУССОЛЬ»,1011008814,2026,Северный,Пикша,Промышленная,,0.298,nan,nan,
,ООО «ПКФ «БУССОЛЬ»,1011008814,2026,Северный,Треска,Промышленная,,0.318,nan,nan,
,АО «АЛЬТЕРНАТИВА»,1018005330,2026,Северный,Пикша,Промышленная,,3.942,nan,nan,
,АО «АЛЬТЕРНАТИВА»,1018005330,2026,Северный,Треска,Промышленная,,4.326,nan,nan,
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Краб,Промышленная,2.339,158.011,07.09.2018,06.09.2033,
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Краб,Промышленная,0.194,2.361,29.08.2018,28.08.2033,
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Краб,Промышленная,5.754,172.043,31.08.2018,30.08.2033,
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Краб,Промышленная,5.927,496.783,31.08.2018,30.08.2033,
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Креветка,Промышленная,0.898,6.088,31.08.2018,30.08.2033,
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Креветка,Промышленная,0.898,6.088,31.08.2018,30.08.2033,
,"АО ""ДАЛЬРЫБА""",2500000073,2024,Дальневосточный,Креветка,Промышленная,0.898,6.053,31.08.2018,30.08.2033,Биология/ОДУ
,"АО ""ДАЛЬРЫБА""",2500000073,2025,Дальневосточный,Креветка,Промышленная,0.898,7.328,31.08.2018,30.08.2033,
,"АО ""ДАЛЬРЫБА""",2500000073,2026,Дальневосточный,Креветка,Промышленная,0.898,7.355,31.08.2018,30.08.2033,
,АО «ДАЛЬРЫБА»,2500000073,2026,Дальневосточный,Креветка,Промышленная,,0.898,nan,nan,Регулятор/Инвестквоты
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Минтай,Промышленная,1.232,5838.354,05.09.2018,04.09.2033,
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Минтай,Промышленная,0.753,2204.864,31.08.2018,30.08.2033,
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Минтай,Промышленная,0.9,2014.911,05.09.2018,04.09.2033,
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Минтай,Промышленная,1.522,900.332,05.09.2018,04.09.2033,
,"АО ""Дальрыба""",2500000073,2023,Дальневосточный,Минтай,Промышленная,1.232,14.984,05.09.2018,04.09.2033,
