date_local,trawl_hours,transit_hours,maneuver_hours,idle_hours,gap_hours,trawl_events,distance_nm,trawl_distance_nm
2026-01-01,3.1912499999999997,6.359444444444447,0.8708333333333332,1.3031944444444443,13.45027777777778,1,61.6282254464116,18.021817788053134
2026-01-02,0.0,6.798194444444444,0.0,0.0,16.419444444444444,0,72.9622596521555,0.0
2026-01-03,7.598055555555554,5.52777777777778,0.43291666666666667,0.0,10.96,3,85.29104302187292,30.43202937115712
2026-01-04,15.693472222222223,3.109722222222221,0.8566666666666668,0.0,3.6066666666666665,7,86.1204797003691,57.28171737234201
2026-01-05,16.129166666666677,3.3248611111111113,0.09152777777777778,0.0,4.3455555555555545,6,75.06864995302017,54.86843768700406
2026-01-06,13.732916666666668,2.0233333333333334,1.5026388888888889,0.0,7.006666666666666,7,62.8521690047916,48.088433037311205
2026-01-07,18.93277777777778,2.4740277777777773,0.0,0.0,2.314166666666667,4,79.4444975380733,66.08710383785933
2026-01-08,11.609861111111117,2.8844444444444446,1.002361111111111,0.0,9.608333333333333,1,65.60945867953569,40.94769167536642
2026-01-09,12.551111111111114,3.9972222222222213,0.27888888888888885,0.0,5.871944444444445,2,76.96720286851593,45.17232322742458
2026-01-10,16.387638888888883,2.570416666666667,0.8056944444444445,0.0,4.4319444444444445,6,80.04110299411424,63.41693147261398
2026-01-11,18.596944444444443,3.0347222222222223,0.7872222222222222,0.33374999999999994,1.172222222222222,2,82.03577634349514,61.12987221756346
2026-01-12,10.596249999999996,10.674027777777782,0.27083333333333337,0.0,2.4511111111111115,2,113.38336755052657,41.660963048029544
2026-01-13,14.35527777777777,4.424027777777779,0.5933333333333334,0.0,4.748055555555556,4,92.22982318336447,51.89698138674679
2026-01-14,19.860416666666666,2.5270833333333327,0.25027777777777777,0.0,1.1605555555555556,5,91.45084016750296,73.36658992107765
2026-01-15,17.13222222222223,2.2344444444444442,0.23083333333333333,0.0,4.473333333333334,4,71.41702641508905,60.439242235704995
2026-01-16,17.29111111111112,2.1816666666666666,0.0,0.0,4.618611111111111,6,69.31261193737538,59.08842398990946
2026-01-17,3.7806944444444435,10.034583333333329,0.0,0.0,10.089166666666666,1,131.40773803545923,13.89270074655174
2026-01-18,17.673888888888886,2.7393055555555557,0.33472222222222225,0.0,3.371666666666666,6,83.76448412520959,64.2500476978144
2026-01-19,19.373194444444458,3.348194444444444,0.16999999999999998,0.0,1.0769444444444443,4,89.21451226001629,65.31391400957956
2026-01-20,17.963611111111106,3.061805555555555,0.33749999999999997,0.0,2.5041666666666664,4,79.98883727982768,59.029712944438074
2026-01-21,18.588611111111106,1.3270833333333334,0.7402777777777778,0.0,4.4336111111111105,2,72.63847160817359,64.47830159440338
2026-01-22,4.955555555555556,3.944027777777778,0.2490277777777778,0.0,13.893055555555554,1,51.183490966202314,18.525085580661077
2026-01-23,2.255416666666666,0.6645833333333333,4.558055555555556,6.214027777777778,9.946666666666665,0,22.57039074842851,7.9815799989483125
2026-01-24,4.431388888888889,0.0,9.710694444444444,7.892777777777779,2.3355555555555556,2,37.88370767226685,16.681177133108154
2026-01-25,13.750416666666665,2.4027777777777777,4.593611111111112,0.0,3.288333333333333,3,70.42202897333917,47.122593841704905
2026-01-26,6.606111111111111,5.585,0.38749999999999996,2.7504166666666667,9.62138888888889,3,75.4877877429715,29.598243045255902
2026-01-27,7.88138888888889,7.58,0.0,0.0,7.399444444444445,2,112.18925248984488,28.185607562576866
2026-01-28,18.634027777777767,0.5594444444444444,0.5691666666666667,0.0,4.431944444444444,3,67.05137584282025,62.8925951969071
2026-01-29,18.32583333333334,1.8397222222222225,0.18791666666666668,0.0,3.626666666666667,4,74.39954540296235,62.888110407489265
2026-01-30,12.518888888888888,4.472777777777778,6.174583333333332,0.7301388888888889,0.0,3,83.54759566666739,44.7274809838299
2026-01-31,16.482777777777773,4.746111111111112,0.0,0.0,2.653611111111111,1,92.8137447773933,63.77362415082202
2026-02-01,5.9068055555555565,10.677083333333334,0.0,0.0,8.207222222222223,1,94.63698609012118,24.27653697053899
2026-02-02,13.55277777777778,1.7580555555555555,3.0398611111111107,0.0,4.934722222222222,4,62.43478614805503,45.98616819998163
2026-02-03,11.044722222222228,2.0374999999999996,1.3876388888888889,0.0,9.32472222222222,5,48.62421552930503,37.245740759943494
2026-02-04,16.370000000000008,1.744583333333333,0.5873611111111111,0.8273611111111112,4.719444444444444,5,68.95488316121383,57.76315851836917
2026-02-05,19.428750000000015,0.8088888888888888,0.3211111111111111,0.0,3.5775000000000006,3,68.21275031237698,63.38459690890029
2026-02-06,16.170555555555556,1.9647222222222218,0.5983333333333333,0.0,5.105277777777777,5,68.53525488370998,54.96022671193873
2026-02-07,13.811249999999992,2.723194444444444,0.0,0.0,7.700277777777776,5,65.08036519206428,51.91276655536677
2026-02-08,16.432500000000005,5.754305555555557,0.6318055555555555,0.0,1.1269444444444443,4,101.3263782937669,61.683979694240584
2026-02-09,13.925416666666669,1.0948611111111113,0.8636111111111111,0.0,8.222777777777777,5,54.2865760721027,47.7763796653697
2026-02-10,2.769722222222222,0.31625000000000003,0.5258333333333333,4.98111111111111,15.339999999999996,1,18.340003755236665,10.776021200105557
2026-02-11,0.35750000000000004,1.03125,0.07902777777777777,2.9302777777777775,19.738611111111116,0,12.056463167590325,0.26360284419825064
2026-02-12,12.76763888888889,4.13013888888889,3.454583333333334,0.0,4.453333333333333,4,94.25891993985482,46.483191630848175
2026-02-13,9.185555555555556,8.246944444444447,0.0,0.0,5.7363888888888885,3,93.63268255472401,36.69487236816747
2026-02-14,14.701666666666666,2.729166666666667,0.4808333333333334,0.0,5.8875,6,76.81839579982055,52.47498779415008
