scenario,trawl_min,trawl_max,slow_max,min_haul_min,days_with_data,trawl_hours,transit_hours,maneuver_hours,idle_hours,gap_hours,trawl_share_%,transit_share_%,maneuver_share_%,idle_share_%,avg_trawl_hours_per_day,avg_transit_hours_per_day,avg_idle_hours_per_day,total_hauls,avg_hauls_per_day,avg_haul_hours,median_haul_hours,total_distance_nm,trawl_distance_nm,transit_distance_nm,mean_trawl_depth_m,data_coverage_%
strict,3.0,4.5,1.5,90,104,833.638333333331,458.16888888888866,262.18694444444407,183.9136111111111,756.9852777777783,47.96792695175612,26.36324520480249,15.086355432490029,10.582472410951372,8.015753205128183,4.405470085470084,1.7684001068376067,173,1.6634615384615385,2.670529865125241,2.2952777777777778,6906.563637820221,3036.3232683844785,2974.8890121006343,-311.57176483272934,69.65860816790739
base,2.5,5.0,1.5,60,104,1066.5247222222167,369.01874999999995,118.45069444444452,183.9136111111111,756.9852777777783,61.36831515800915,21.23350586944589,6.815706561593564,10.582472410951384,10.255045405982854,3.548257211538461,1.7684001068376067,300,2.8846153846153846,2.7682574074074076,2.294722222222222,6906.563637820221,3833.6900967305637,2581.544555057767,-309.24425426877156,69.65860816790737
soft,2.0,5.5,1.0,45,104,1203.4920833333244,301.77416666666676,118.74208333333331,113.89944444444463,756.9852777777783,69.24947909906979,17.36422211381894,6.8324732101243395,6.55382557698693,11.572039262820427,2.90167467948718,1.0951869658119675,302,2.9038461538461537,3.471420161883738,2.7538888888888886,6906.563637820227,4329.564564849728,2260.48439224248,-305.9210629904184,69.65860816790733
