date_local,trawl_hours,transit_hours,maneuver_hours,idle_hours,gap_hours,trawl_events,distance_nm,trawl_distance_nm
2026-01-01,0.5168055555555555,9.033888888888889,0.0,2.174027777777778,13.45027777777778,0,61.6282254464116,2.86180318186514
2026-01-02,0.0,6.798194444444444,0.0,0.0,16.419444444444444,0,72.9622596521555,0.0
2026-01-03,5.281944444444445,7.345833333333336,0.49805555555555553,0.43291666666666667,10.96,0,85.29104302187292,19.95394853706618
2026-01-04,12.182361111111115,5.24513888888889,1.6281944444444445,0.6041666666666667,3.6066666666666665,0,86.1204797003691,43.73662697237381
2026-01-05,12.009027777777781,3.712500000000001,3.7325000000000004,0.09152777777777778,4.3455555555555545,2,75.06864995302017,42.34905454518139
2026-01-06,10.990972222222222,2.748611111111111,3.248333333333333,0.2709722222222222,7.006666666666666,3,62.8521690047916,39.38636863796797
2026-01-07,14.795277777777784,3.693472222222222,2.918055555555556,0.0,2.314166666666667,4,79.4444975380733,52.79821669360951
2026-01-08,10.176944444444445,3.934166666666668,1.3855555555555557,0.0,9.608333333333333,2,65.60945867953569,35.543973407340204
2026-01-09,9.213472222222222,5.1231944444444455,2.490555555555556,0.0,5.871944444444445,2,76.96720286851593,33.143377245134076
2026-01-10,14.845277777777772,3.3184722222222223,1.6000000000000003,0.0,4.4319444444444445,3,80.04110299411424,57.59807156598199
2026-01-11,11.667222222222223,3.3820833333333336,7.162083333333336,0.5412499999999999,1.172222222222222,2,82.03577634349514,41.1566517875052
2026-01-12,3.4930555555555554,14.550416666666674,3.497638888888889,0.0,2.4511111111111115,1,113.38336755052657,12.926690816981905
2026-01-13,13.23527777777777,4.55625,1.5811111111111111,0.0,4.748055555555556,3,92.22982318336447,48.416648658092186
2026-01-14,17.222222222222225,3.943888888888888,1.4716666666666667,0.0,1.1605555555555556,4,91.45084016750296,63.736321399076495
2026-01-15,14.795277777777788,3.1272222222222226,1.4441666666666668,0.23083333333333333,4.473333333333334,5,71.41702641508905,53.212440195261486
2026-01-16,12.068888888888889,2.3890277777777778,5.01486111111111,0.0,4.618611111111111,1,69.31261193737538,43.14370815386887
