country_code,shipyard_id,shipyard_url,name,address,website,phone,email,lat,lon
CN,5289,https://www.trusteddocks.com/shipyards/5289-huarun-dadong-dockyard-co-ltd-(hrdd),"Huarun Dadong Dockyard Co., Ltd. (HRDD)","No.1 DaDong Road, ChongMing",,,,31.5908,121.4573
CN,5465,https://www.trusteddocks.com/shipyards/5465-imc-shipyard-(zhoushan)-co-ltd,"IMC SHIPYARD (ZHOUSHAN) CO., LTD.","28, Mazhi Road(W), Shenjiamen, Putuo, Zhoushan,",,,,29.94236602165076,122.26285457611083
CN,5306,https://www.trusteddocks.com/shipyards/5306-jiangsu-nantong-tongshun-shipbuilding-&amp;-repairing-coltd,JIANGSU NANTONG TONGSHUN SHIPBUILDING &amp; REPAIRING CO.LTD,"Zeshengjie, Tianshenggang Town, Jiangsu Province,226003",,,,32.03791615194978,120.74385172806518
CN,5313,https://www.trusteddocks.com/shipyards/5313-jiangsu-zhenjiang-shipyard-(group)-co-ltd,JIANGSU ZHENJIANG SHIPYARD (GROUP) CO LTD,"No.8 Jingjiang Road, Zhenjiang City, Jiangsu Province",,,,32.20791651065087,119.374553687621
CN,249891,https://www.trusteddocks.com/shipyards/249891-jianglong-shipbuilding---zhoushan-,JIanglong Shipbuilding - Zhoushan,"No.1 Guizhu Road,Shenwan Town,",,,,24.012789,114.058809
CN,5466,https://www.trusteddocks.com/shipyards/5466-jinhai intelligent manufacturing-co-ltd-,Jinhai Intelligent Manufacturing Co Ltd,"No.1,Jinhai Street,Changtu,Daishan,Zhoushan,Zhejiang Province,China",,,,30.25409470218544,122.25461914689932
CN,7861,https://www.trusteddocks.com/shipyards/7861-linhai-huipu-shipbuilding-co-ltd,"LINHAI HUIPU SHIPBUILDING CO., LTD.","Yongquan Town, Linhai City, Zhejiang, Taizhou,317022",,,,28.75667387694421,121.26428626477721
CN,5309,https://www.trusteddocks.com/shipyards/5309-nantong-rainbow-heavy-machineries-coltd-(rhm)-,"NANTONG RAINBOW HEAVY MACHINERIES CO.,LTD (RHM)","No. 88 Rongsheng Road, Nantong Marine (Ship Supporting) Equipment Industrial Zone",,,,32.096421961186486,120.76579304645088
CN,5333,https://www.trusteddocks.com/shipyards/5333-nantong-tongde-shipbuilding-co-ltd,"NANTONG TONGDE SHIPBUILDING CO., LTD","Southern end, Jiuwei Harbor, Gangzha District, 226000 Nantong, CHINA",,,,32.04516355195267,120.7423277485167
CN,5336,https://www.trusteddocks.com/shipyards/5336-ningbo-boda-shipbuilding-coltd,"NINGBO BODA SHIPBUILDING CO.,LTD","Pugang West Road, Hepu Town Xiangshan County,Zhejiang Province ,315733",,,,29.151746453640683,121.88333353511808
