Название_судна,Бортовой_номер,IMO,Тип_Модель,Год_постройки,Состояние,Регион_работы,Судовладелец_ИНН,Судовладелец,GFW_ID,GFW_Name,Регион_регистрации
Виктория I,,,РТ,,Эксплуатация,Дальневосточный,6516008452,"ООО ""НЕВОД""",2352f2cf2-2bcd-557a-d2a9-161744c38b1a,VIKTORIYA-1,Сахалинская обл.
Виктория I,,,,,Эксплуатация,Дальневосточный,4101013772,"АО ""Акрос""",2352f2cf2-2bcd-557a-d2a9-161744c38b1a,VIKTORIYA-1,Камчатский край
Виктория-II,,8897136,РТ,,Эксплуатация,Дальневосточный,6516008452,"ООО ""НЕВОД""",9801430cd-dca1-6220-6387-7f64dfbcde2c,VIKTORIYA-II,Сахалинская обл.
Вильгельм Торстейнссон,,,СРТМ,,Эксплуатация,Дальневосточный,6505008098,"ООО ""ПРОЛИВ""",,,Камчатский край
Вилюй,,8805303,РС,,Эксплуатация,Дальневосточный,2536312213,"ООО ""ПАСИФИК КРАБ""",d78e179a2-207c-fd6f-34fc-fead0a9d717e,VILYUY,Приморский край
Вилючинский,,8901444,,,Эксплуатация,Дальневосточный,4101013772,"АО ""Акрос""",968fa69f5-5f43-6d27-bd94-75cb4be028dd,VILYUCHINSKY,Камчатский край
Виноградное,,8227068,СРТМ,,Эксплуатация,,9102198130,"ООО ""МОРСКАЯ КОМПАНИЯ ""ТРАНС-СЕРВИС""",dfa09ea96-6d3b-9049-9211-4777c0bbcbda,VINOGRADNOE,г. Севастополь
Виноградное,,8227068,СРТМ,,Эксплуатация,,9102198130,"ООО ""МОРСКАЯ КОМПАНИЯ ""ТРАНС-СЕРВИС""",dfa09ea96-6d3b-9049-9211-4777c0bbcbda,VINOGRADNOE,Республика Крым
Витим,,,РС,,Эксплуатация,Дальневосточный,2536312213,"ООО ""ПАСИФИК КРАБ""",665b5daf2-2613-9de8-2515-e797c8bbd224,Z/S VITIM,Приморский край
Витус Беринг,МК-0357,,,,Эксплуатация,Северный,5100000010,ПАО «МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ» ИЛИ ПАО «МТФ»,78adb25c4-43e9-558d-867d-f073d21d6bf9,KOMANDOR BERING,Мурманская обл.
Витус Беринг,МК-0357,,,,Эксплуатация,Северный,5191431188,АО «МУРМАНСКИЙ ГУБЕРНСКИЙ ФЛОТ» ИЛИ АО «МГФ»,78adb25c4-43e9-558d-867d-f073d21d6bf9,KOMANDOR BERING,Мурманская обл.
Витязь,МК-0074,,,,Эксплуатация,Северный,5191315872,ООО «НОРД ПИЛИГРИМ»,8089a7018-8415-a2fc-b68e-8f8556635332,VITYAZ 1,Мурманская обл.
Владивосток,,8907474,БМРТ,,Эксплуатация,Дальневосточный,2536053382,АО ТУРНИФ,ff4d3fa5f-f0bd-285a-9417-8c06e0f49d0f,VLADIVOSTOK,Приморский край
Владимир Бабич,,8721210,,,Эксплуатация,Дальневосточный,4100000530,"АО ""ОКЕАНРЫБФЛОТ""",af3214e67-7aa7-e329-90ac-0ca138843408,VLADIMIR BABICH,Камчатский край
Владимир Бирюков,,9910674,,,Эксплуатация,Дальневосточный,4100000530,"АО ""ОКЕАНРЫБФЛОТ""",de2424ae7-762a-81d8-03a1-815ff9936117,VLADIMIR BIRYUKOV,Камчатский край
Владимир Загоскин,М-0258,7607273,,,Эксплуатация,Северный,5193103376,АО «МОРСКОЕ СОДРУЖЕСТВО»,019a359d6-64df-b77c-dba8-07a1dffaad92,VLADIMIR ZAGOSKIN,Мурманская обл.
Владимир Никора,,9935856,СРТМ,,Эксплуатация,Дальневосточный,6515000242,"АО ""СК БСФ""",c6a025107-77ba-3d94-654e-8ee5d5c90450,VLADIMIR NIKORA,Сахалинская обл.
Владимир Старжинский,,,,,Эксплуатация,Дальневосточный,2536247860,"АО «РОЛИЗ""",,,Камчатский край
Войково,М-0136,8033924,,,Эксплуатация,Северный,5110330018,"СПК РК ""МУРМАН""",b9d68030b-bf8a-efd1-5393-4cacb886d873,VOYKOVO,Мурманская обл.
Волк Арктики,ПК-1654,8024002,,,Эксплуатация,Северный,5190081090,"ООО ""Антей Север""",0654c93d5-5008-6dba-a668-b8527714db24,VOLK ARKTIKI,Мурманская обл.
Восток-1,,9160516,ЯМС,,Эксплуатация,Дальневосточный,2536010639,"АО ""Р/К ""ВОСТОК-1""",4d90ebddd-dc5d-1dbc-b849-9b81f6e1092b,VOSTOK1,Приморский край
Восток-3,,9058048,ЯМС,,Эксплуатация,Дальневосточный,2536010639,"АО ""Р/К ""ВОСТОК-1""",305145b86-6128-7819-9d9a-f1546d63b5d5,VOSTOK-3,Приморский край
Восток-5,,8809294,ЯМС,,Эксплуатация,Дальневосточный,2536010639,"АО ""Р/К ""ВОСТОК-1""",b33926345-5225-79c6-4959-a1a450d1b209,VOSTOK-5,Приморский край
Восток-7,,8815334,ЯМС,,Эксплуатация,Дальневосточный,2536010639,"АО ""Р/К ""ВОСТОК-1""",d43b78f34-4111-2f21-d76a-51839dc733f3,VOSTOK 7,Приморский край
Восток-8,,9315587,ЯМС,,Эксплуатация,Дальневосточный,2536010639,"АО ""Р/К ""ВОСТОК-1""",b552bc85e-ea6c-77de-a0ff-19cc1b9c6191,VOSTOK 8,Приморский край
Всеволод Сибирцев,,8610277,ПБ,,Эксплуатация,Дальневосточный,2508098600,"АО ""ЮЖМОРРЫБФЛОТ""",75f5042c6-671b-4835-39d9-67d7f904bcce,VSEVOLOD SIBIRTSEV,Приморский край
Вутан,М-0173,8330712,,,Эксплуатация,Северный,5105090018,СПК РК «ЭНЕРГИЯ»,4bfa7b5ca-a84e-8f05-55ac-8634ffc2e0f4,VUTAN,Мурманская обл.
ГАНДВИК-1,СП27305,8881618,,,Эксплуатация,Северный,1011008571,"ООО ""РК ""ВИРМА""",360dc2ad8-8643-3634-cef4-4d85379fa800,GANDVIK,Мурманская обл.
ГЕРМЕС,,,СРТМ,,Эксплуатация,Дальневосточный,6501237700,"ООО ""РОСРЫБФЛОТ""",ff6c3c0d9-9de5-b94c-5f15-6d1d1d67535c,GERMES,Камчатский край
Галатис,М-0120,8826541,,,Эксплуатация,Северный,5191312712,ООО «БИОС-АРКТИК»,34fab0622-209f-5726-1277-5199c5e147d9,GALATIS,Мурманская обл.
Галмаги,,,,,Эксплуатация,Дальневосточный,6515003317,"ООО ""АЛАИД""",be70595fe-e699-4ff7-d0cd-deef3a7b55e6,GAL MEA GI,Сахалинская обл.
Гамов,,9279460,РС,,Эксплуатация,Дальневосточный,2536334993,"ООО ""ВЛАДКРАБ""",ba493ea1b-b441-3cbb-23f1-0b6195a9d990,GAMOV,Приморский край
Гасангусейнов О.М.,,,,,Эксплуатация,,235208877323,ГАСАНГУСЕЙНОВ ОМАР МАЛИКОВИЧ,,,Краснодарский край
Гемма,М-0186,,,,Эксплуатация,Северный,5190500022,АО НПП «ВЕГА»,6ea7938ab-b7cd-c3b4-bdfa-acdc79f8c655,GEMMA,Мурманская обл.
Генерал Трошев,,9121144,ТР,,Эксплуатация,Дальневосточный,2518000814,"ПАО ""ПБТФ""",eff28efbd-d882-8555-9fbb-caff384b29fe,GENERAL TROSHEV,Приморский край
Геньё Мару,,,РШ,,Эксплуатация,Дальневосточный,2540176115,"ООО ""АТЛАНТ""",5d5ec1a9c-ca44-8b08-efd4-e98f45ea33eb,MARU MARU,Приморский край
Георгий Мещеряков,,9869411,,,Эксплуатация,Дальневосточный,4100000530,"АО ""ОКЕАНРЫБФЛОТ""",43b637fd9-94d8-0be2-5dfa-4ea07aba77b7,GEORGIYMESHCHERYAKOV,Камчатский край
Геркулес,,8977508,СРТМ,,Эксплуатация,Дальневосточный,6501237700,"ООО ""РОСРЫБФЛОТ""",e5144c213-3996-e15c-7a05-df39b0e11c41,GERKULES,Камчатский край
Герои Даманского,,8716875,СРТМ,,Эксплуатация,Дальневосточный,4108003484,"АО ""Озерновский РКЗ № 55""",fe07f496c-c86b-7dba-9c81-c3a2497327ef,GEROI DAMANSKOGO,Камчатский край
Герои Широнинцы,,7832945,БМРТ,,Эксплуатация,Дальневосточный,2721023255,"ООО ""ВОСТОКРЫБПРОМ""",7ff99d590-0692-0cb0-8a39-23e6f412a669,HIRONIN,Хабаровский край
Гефест,,8359237,СТР,,Эксплуатация,Дальневосточный,2531008227,"ООО ""ХАСАНРЫБА""",f3561e3c6-6131-1ad8-e47f-6aa9f6f00e40,GEFEST,Приморский край
Глейшер Энтерпрайз,М-0252,,,,Эксплуатация,Северный,5191204516,"ООО ""Арктиксервис""",,,Мурманская обл.
Гнупур,АК3155,8117550,,,Эксплуатация,Северный,1011008571,"ООО ""РК ""ВИРМА""",2a06d95c8-8e13-39be-970f-9e6c79366285,GNUPUR,Мурманская обл.
Горин,,8661202,РС,,Эксплуатация,Дальневосточный,2536312213,"ООО ""ПАСИФИК КРАБ""",86561fca6-6714-afb8-8723-4d6694ff876e,GORIN,Приморский край
Гранит,,,СРТМ,,Эксплуатация,Дальневосточный,4100006765,"ООО РК «ЛУНТОС""",4c84c1f82-2879-1263-4fd7-da57bb6eaaaf,GRANIT,Камчатский край
Гринда,,,,,Эксплуатация,Дальневосточный,6501289105,"ООО РЫБОКОМБИНАТ ""ОСТРОВНОЙ""",9a2340ff7-7c4d-477e-c592-f436e3561f6c,UMB-893K,Сахалинская обл.
Гриф,,7920053,МРТР,,Эксплуатация,,9204013621,"ООО ""ССВ""",44d114998-8b63-aca8-d282-f28a67ff097b,GRIF,Республика Дагестан
Гулдрангур,М-0226,8315944,,,Эксплуатация,Северный,5193410419,"ООО ""СААМИ""",bdb048c0e-e88c-368d-77a4-d826ca839fed,GULDRANGUR,Мурманская обл.
Гурд,,8821371,СРТМ,,Эксплуатация,Дальневосточный,2723050060,"ООО ""СИГМА МАРИН ТЕХНОЛОДЖИ""",0cb7110b7-7dc0-0ebd-2f21-8ea44e64b50d,GURD,Хабаровский край
ДАЛЬМОС,,8856998,,,Эксплуатация,Дальневосточный,8200001479,"ООО ""ПОЛЛУКС""",72bf1f832-2d75-947d-c08e-94c57eaa8f4e,DALMOS,Камчатский край
Даллия,,9011222,РС,,Эксплуатация,Дальневосточный,6501289105,"ООО РЫБОКОМБИНАТ ""ОСТРОВНОЙ""",1431fd31f-fdd4-fec4-a49f-0df13b2664b5,DALLIA,Сахалинская обл.
Даллия,,9011222,РС,,Эксплуатация,Дальневосточный,4101138370,ООО «ПОЛАР СИ»,1431fd31f-fdd4-fec4-a49f-0df13b2664b5,DALLIA,Камчатский край
Дарья,АК-0804,,,,Эксплуатация,Северный,2917002250,"ООО ""СЕВНАУЧФЛОТ""",4b6c6a134-47ef-c5fa-d805-ae2f798c30e4,DAR`YA,Мурманская обл.
Демократ Леонов,,9076844,СРТМ,,Эксплуатация,Дальневосточный,4108003484,"АО ""Озерновский РКЗ № 55""",597601534-4f37-9571-880a-58ab285c8788,DEMOKRAT LEONOV,Камчатский край
Динар,,,СРТМ,,Эксплуатация,Дальневосточный,2723050060,"ООО ""СИГМА МАРИН ТЕХНОЛОДЖИ""",33ad94a40-044a-9e06-8e64-bb79e7c85d65,DINAR,Хабаровский край
Диомидис,М-0259,9696527,,,Эксплуатация,Северный,5191204516,"ООО ""Арктиксервис""",a59195c0b-b8da-6043-957a-46b726fff67a,DIOMIDIS,Мурманская обл.
Дионис,,8504519,СРТМ,,Эксплуатация,Дальневосточный,6501237700,"ООО ""РОСРЫБФЛОТ""",2af72d8b2-228f-cef6-dcff-4fbe7e9dbae3,PROTON,Камчатский край
Дистинкт,М-0183,9076636,,,Эксплуатация,Северный,7728048794,"АО ""РПФ ВАРИАНТ""",5a409bc71-1b38-076d-2e87-c0f2f76e82d9,DISTINKT,Мурманская обл.
Дмитрий,,7418725,СРТМ,,Эксплуатация,,9204013621,"ООО ""ССВ""",90442259e-ef83-70d3-9899-369f5334a5db,DMITRIY,г. Севастополь
Дмитрий Кожарский,КД-2288,9836191,БМРТ,,Эксплуатация,Норвежский,3905000203,"АО «АТЛАНТРЫБФЛОТ""",6761598c3-3802-ce74-1e5e-821b878e9578,DMITRY KOZHARSKIY,Калининградская обл.
Дмитрий Коноплев,,9943968,РТ,,Эксплуатация,Дальневосточный,2508136358,"ООО ""ТРК""",ac103807e-e60a-8380-2bf2-fbb2203603bd,DMITRIY KONOPLEV,Приморский край
Доброволец,,9185372,,,Эксплуатация,Дальневосточный,2536084366,"ООО ""ПРИМРЫБФЛОТ""",91e62f9bc-c37b-2517-e13f-da16c75af83a,ARKA-37,Приморский край
Долгощелье,М-0235,,,,Эксплуатация,Северный,5191308586,ООО «ПЕРСЕЙ»,,,Мурманская обл.
Енисей,,,РС,,Эксплуатация,Дальневосточный,2536312196,"ООО ""АТЛАНТИК КРАБ""",4ba2cedad-dcf9-1562-0a90-9cba39897abf,ENISEY,Приморский край
Ерофей,,8509935,,,Эксплуатация,Дальневосточный,4101189462,"ООО ""Минтай ДВ""",ac3a6a3b1-148d-6e51-1824-45d15f40f212,EROFEY,Хабаровский край
ЗЕЕЛАНД,,,БМРТ,,Эксплуатация,Дальневосточный,2540257244,"ООО ""ФОРПОСТ""",b169d2714-4b56-e39d-6322-e57ecdd2310d,ZEELAND,Приморский край
Залив Восток,,,,,Эксплуатация,Дальневосточный,2508098600,"АО ""ЮЖМОРРЫБФЛОТ""",575267204-4b28-fa63-3c3a-ad8c22205e26,ZALIV,Приморский край
Залив Забияка,,7376410,РТ,,Эксплуатация,Дальневосточный,4909084252,"АО «ТРАЛКОМ""",e87fab931-1b91-74a3-fb59-b95bbe39b495,ZALIV ZABIYAKA,Магаданская обл.
Залив Ольги,,8880286,СРТМ,,Эксплуатация,Дальневосточный,2500000073,"АО ""ДАЛЬРЫБА""",0d30616fd-d6ae-ffba-5f55-8923c8a26093,ZALIV OLGI,Приморский край
Залив Петра,,9130822,СРТМ,,Эксплуатация,Дальневосточный,4909120133,"ООО ""СЕВРЫБФЛОТ""",ec1da90ed-d863-d66e-6df4-c12efaa8ffbd,ZALIV PETRA,Сахалинская обл.
Замоскворечье,К-1989,9077587,БАТМ,,Эксплуатация,Норвежский,3903000159,"ЗАО ""ВЕСТРЫБФЛОТ""",e099d7bc5-538c-8471-e878-829bbf12ae58,ZAMOSKVORECHYE,Калининградская обл.
Заполярье,МК-6239,9524205,,,Эксплуатация,Северный,8300080121,«СПК РК «АНДЕГ»,64cc6c06a-aa89-287c-a667-907453354f54,ZAPOLYARYE,Мурманская обл.
Звезда Мурмана,М-0351,7032179,,,Эксплуатация,Северный,5193104122,АО «МУРМАНРЫБФЛОТ 2»,7f8fbca68-8b40-4cf3-edef-f26529a50ec0,ZVEZDA MURMANA,Мурманская обл.
Звезда Севера,МК9828,7382914,,,Эксплуатация,Северный,5190081090,"ООО ""Антей Север""",691dd85f1-17fe-6d57-4568-711d185048e0,ZVEZDA SEVERA,Мурманская обл.
ИЗУМРУД,,,,,Эксплуатация,Дальневосточный,4101175621,"ООО ""ЗВЕЗДА ВОСТОКА""",e268bc4d9-94d2-a010-c15b-fba0955b61a3,IZUMRUD,Приморский край
ИП Коробка Е.Г.,,,,,Эксплуатация,,615412030479,КОРОБКА ЕВГЕНИЙ ГЕННАДЬЕВИЧ,,,Ростовская обл.
Иван Мошляк,,8832033,СТР,,Эксплуатация,Дальневосточный,2540078397,"АО ""ДАЛЬРЫБПРОМ""",6ce089b67-7162-700c-fc15-28de3571583c,IVAN MOSHLYAK,Приморский край
Изумруд,АК -0777,,,,Эксплуатация,Северный,2921001587,МОСКОВСКИЙ ФЛ РК ИМ. М. И. КАЛИНИНА,e268bc4d9-94d2-a010-c15b-fba0955b61a3,IZUMRUD,Мурманская обл.
Икларанд,,7740934,СРТМ,,Эксплуатация,Дальневосточный,2539094179,"ООО ""ДЕЛЬФИН""",c6901c7ba-a573-b395-916a-155a028997f4,IKLARAND,Приморский край
Илья Коновалов,,8721167,БМРТ,,Эксплуатация,Дальневосточный,2508007948,"ПАО ""НБАМР""",bf87e0b31-13a4-b329-2af6-dd694d2bddbc,ILYA KONOVALOV,Приморский край
Инженер Фаустов,,,СТР,,Эксплуатация,Дальневосточный,2536198370,"ООО ""ВОСТОКРЫБПРОМ""",,,Приморский край
Иня,,8423258,,,Эксплуатация,Дальневосточный,2715002088,"РЫБОЛОВЕЦКАЯ АРТЕЛЬ ""ИНЯ""",43a0cd842-2bd8-585c-efa6-baa92904f0ae,INYA,Хабаровский край
Иоланта,,,СРТМ,,Эксплуатация,Дальневосточный,6501078432,"ООО ""ПО САХАЛИНРЫБАКСОЮЗ»",fdbfcd84e-ed13-8ca0-3eac-280881e4fa94,IOLANTA,Сахалинская обл.
Иосиф Шмелькин,К - 2156,8917223,БМРТ,,Эксплуатация,Норвежский,3903017709,АО «МОРСКАЯ ЗВЕЗДА»,a82a8dced-d189-bda4-cb45-12c3943fffc6,IOSIF SHMELKIN,Калининградская обл.
Ирида,,,СРТМ,,Эксплуатация,Дальневосточный,6515002391,"ООО ""ГРАНИС""",ceada3927-7032-483d-8a7a-3552b498ef1b,IRIDA,Сахалинская обл.
Иркут,,9128714,РС,,Эксплуатация,Дальневосточный,2536312206,"ООО ""КАМЧАТКА КРАБ""",2ca1c3012-2271-15cd-ea08-2e536333f615,IRKUT,Приморский край
Иртышск,,8331534,,,Эксплуатация,Дальневосточный,4100000530,"АО ""ОКЕАНРЫБФЛОТ""",0b811abad-d586-de5f-4a87-4f3a88f977be,IRTYSHSK,Камчатский край
Ихтиолог,,8804309,РС,,Эксплуатация,Дальневосточный,4101016808,РК ИМ. В.И. ЛЕНИНА,2702b168b-bcca-c489-f62b-d26d13183924,IKHTIOLOG,Камчатский край
К «Лунга»,,,СРТМ,,Эксплуатация,,9201000913,"ООО ""ДИНЕРС""",16e86f509-99a5-645e-bec7-9945d4a31744,ROBACHOP,г. Севастополь
КАЙРОС,,,РТ,,Эксплуатация,Дальневосточный,6501237700,"ООО ""РОСРЫБФЛОТ""",995bc578f-fefc-d947-521f-6c1b3e1f874f,KAYROS,Камчатский край
КАМЧАТКА ХАРВЕСТ,,9113068,СРТМ,,Эксплуатация,Дальневосточный,8203010714,"АО ""КОЛХОЗ ИМ. БЕКЕРЕВА""",67bed83b9-978f-f65e-c139-0aa2d56197ef,KAMCHATKA HARVEST,Камчатский край
КАНИН НОС,МК7710,8813702,,,Эксплуатация,Северный,5190303200,"ООО «КАРАТ-1""",0fd2bde5c-c736-40ab-680d-b5783a547ea5,KANIN NOS,Мурманская обл.
КАПИТАН,МК27970,,,,Эксплуатация,Северный,5190081090,"ООО ""Антей Север""",ba94e89ee-e9f8-c2fa-8a71-d38de42ef6c9,KAPITAN,Мурманская обл.
КАПИТАН КАЙЗЕР,,8907149,,,Эксплуатация,Дальневосточный,2536247860,"АО «РОЛИЗ""",183dae0a0-0d0f-e52a-c842-30001d49ae01,KAPITAN KAYZER,Камчатский край
КИЛЬДИН,МК0121,9756315,,,Эксплуатация,Северный,5100000010,ПАО «МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ» ИЛИ ПАО «МТФ»,71401563f-f7af-883e-907d-b232299e7841,KILDIN,Мурманская обл.
КОМАНДОР,ПК 6896,8718158,,,Эксплуатация,Дальневосточный,4101013772,"АО ""Акрос""",9cda982a2-2056-3bf0-8333-8aead3deb839,KOMANDOR,Камчатский край
КУЛОЙ,АК4315,9920590,,,Эксплуатация,Северный,2917000164,"СПК  ""РК   ""СЕВЕР""",2b90d3a99-99be-9a39-fb7d-cd65b15e0d39,KULOY,Мурманская обл.
Калам,,,,,Эксплуатация,Дальневосточный,4101153635,"АО ""ЯМСЫ""",7954ce363-37fa-10d1-e356-b0eda503da16,KALAM,Камчатский край
Калкан,,,,,Эксплуатация,Дальневосточный,4101153635,"АО ""ЯМСЫ""",55d3c25d5-5408-0611-a924-f7b9088006c9,KALKAN,Камчатский край
Каллиста,,,СРТМ,,Эксплуатация,Дальневосточный,2505008333,"ООО ""МОРСКОЙ БРИЗ""",,,Приморский край
Калтан,,9047984,СДС,,Эксплуатация,Дальневосточный,2540078397,"АО ""ДАЛЬРЫБПРОМ""",26ddf96e1-11e1-8588-990c-238713f011f7,KALTAN,Приморский край
Калыгирь,,8859794,СТР,,Эксплуатация,Дальневосточный,6516008452,"ООО ""НЕВОД""",7f9b3b274-4133-0a37-b84d-3dbee7beb8a4,KALYGIR,Сахалинская обл.
Калыгирь,,8859794,СТР,,Эксплуатация,Дальневосточный,2543105698,"ООО «ТРИЕРА""",7f9b3b274-4133-0a37-b84d-3dbee7beb8a4,KALYGIR,Приморский край
Капелан,АК-0657,9055280,,,Эксплуатация,Северный,2921001587,МОСКОВСКИЙ ФЛ РК ИМ. М. И. КАЛИНИНА,a0c310768-87bb-81e3-b1c0-520e03f700d8,KAPELAN,Мурманская обл.
Капитан Александров,,9937139,РС,,Эксплуатация,Дальневосточный,2536312213,"ООО ""ПАСИФИК КРАБ""",53ac792dd-df9b-c6ce-2e40-6e9d68905649,KAPITAN ALEKSANDROV,Приморский край
Капитан Асауленко,,8922981,СРТМ,,Эксплуатация,Дальневосточный,2536084366,"ООО ""ПРИМРЫБФЛОТ""",3f2285c02-2bcd-3279-6dcf-185cc6b61d65,KAPITAN ASAULENKO,Приморский край
Капитан Богомолов,,8607402,РТ,,Эксплуатация,Дальневосточный,6507005529,"ООО «ПОРОНАЙ""",57871468a-a994-35af-afb7-b9a23d9ed3aa,KAPITAN BOGOMOLOV,Сахалинская обл.
Капитан Богомолов,М-0010,8607402,,,Эксплуатация,Северный,5190103233,"ООО «ЭРИДАН""",57871468a-a994-35af-afb7-b9a23d9ed3aa,KAPITAN BOGOMOLOV,Мурманская обл.
Капитан Булатов,МК6613,9969558,,,Эксплуатация,Северный,5100000010,ПАО «МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ» ИЛИ ПАО «МТФ»,2a1f32a0f-fd78-c2ce-0e18-1808e6aea55b,BERLIN,Мурманская обл.
Капитан Геращенко,МК-0549,8604022,,,Эксплуатация,Северный,5193104122,АО «МУРМАНРЫБФЛОТ 2»,d1d38ceee-eea0-ca00-50f2-4360e87cdb2c,KAPITAN GERASHCHENKO,Мурманская обл.
Капитан Громцев,,8714310,,,Эксплуатация,Дальневосточный,8203011154,"АО ""КЗБ-СЕЛЬДЬ""",b2f15f154-44fc-b294-6ca7-671cad8b1fd5,KAPITAN GROMTSEV,Камчатский край
Капитан Громцев,ПК-2595,8714310,,,Эксплуатация,Северный,1011005348,ООО «КАРЕЛЬСКИЕ МОРЕПРОДУКТЫ»,b2f15f154-44fc-b294-6ca7-671cad8b1fd5,KAPITAN GROMTSEV,Мурманская обл.
Капитан Демиденко,МК-0556,8907137,,,Эксплуатация,Северный,5100000010,ПАО «МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ» ИЛИ ПАО «МТФ»,9855d900e-e309-15c0-f8a8-0661160137b0,KAPITAN DEMIDENKO,Мурманская обл.
Капитан Демидюк,,8624565,,,Эксплуатация,Дальневосточный,2518000814,"ПАО ""ПБТФ""",4ff71a5b0-0056-2cec-4c89-726e7f47ad56,KAPITAN DEMIDYUK,Приморский край
Капитан Долгих,М-0349,8612756,,,Эксплуатация,Северный,5190405869,"АО «РЫБПРОМИНВЕСТ""",1a48d4ea0-06d9-e71e-c0cd-f199c649822e,KAPITAN DOLGIKH,Мурманская обл.
Капитан Дудник,,9930478,РС,,Эксплуатация,Дальневосточный,2536312206,"ООО ""КАМЧАТКА КРАБ""",87e645cdc-cb31-8556-df1d-4af0ce7a0e31,KAPITAN DUDNIK,Приморский край
Капитан Егоров,,9937141,РС,,Эксплуатация,Дальневосточный,2536312206,"ООО ""КАМЧАТКА КРАБ""",e7a4b1556-6204-5caf-ecdf-3e22b4b7e3ef,KAPITAN EGOROV,Приморский край
Капитан Ефремов,,8897588,,,Эксплуатация,Дальневосточный,2508098600,"АО ""ЮЖМОРРЫБФЛОТ""",9f2676815-5e69-f4a4-4824-5fc15531aa71,KAPITAN EFREMOV,Приморский край
Капитан Казанцев,,8897485,СТР,,Эксплуатация,Дальневосточный,6501231095,"ООО ""КУК""",db1069aa5-5319-c47e-3b8b-903d31a7d5d2,KAPITAN KAZANTSEV,Сахалинская обл.
Капитан Колесников,,8724327,,,Эксплуатация,Дальневосточный,2518000814,"ПАО ""ПБТФ""",d4cb2c6a6-6023-77dc-106a-cd0d8848e006,KAPITAN KOLESNIKOV,Приморский край
Капитан Ласков,,8834861,СТР,,Эксплуатация,Дальневосточный,4909125565,"ООО ""БУХТА ТИХАЯ-3""",680a9c686-66d9-d7b6-7422-049c1ad69ebc,KAPITAN LASKOV,Магаданская обл.
Капитан Манжолин,,9930466,РС,,Эксплуатация,Дальневосточный,2536312213,"ООО ""ПАСИФИК КРАБ""",09775ca96-69be-5650-ef63-bf4c90cd807f,KAPITAN MANZHOLIN,Приморский край
Капитан Мартынов,,9901166,БМРТ,,Эксплуатация,Дальневосточный,2536306467,"ООО ""НОВЫЙ СЕЙВАЛ""",5a7065a7e-e280-19c7-6f8a-a534ec71a47e,KAPITAN MARTYNOV,Приморский край
Капитан Масловец,,8859811,БМРТ,,Эксплуатация,Дальневосточный,2508007948,"ПАО ""НБАМР""",04c124746-68be-901e-79b3-ed6cf4cb28ff,KAPITAN MASLOVETS,Приморский край
Капитан Назин,МК-0378,8907046,,,Эксплуатация,Северный,5100000010,ПАО «МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ» ИЛИ ПАО «МТФ»,e65393de1-1aef-21e5-e7d9-c5edef3bd07f,KAPITAN NAZIN,Мурманская обл.
Капитан Олейничук,,8625961,,,Эксплуатация,Дальневосточный,2536053382,АО ТУРНИФ,8dba3b898-81f8-c5dc-5693-56da3b9caf82,KAPITAN OLEYNICHUK,Приморский край
Капитан Рогозин,М-0138,8842600,,,Эксплуатация,Северный,5110330018,"СПК РК ""МУРМАН""",3419362ae-ef77-e2e6-f7cb-c39c0c229ad1,KAPITAN ROGOZIN,Мурманская обл.
Капитан Русанов,МК8935,9888950,,,Эксплуатация,Северный,5110330018,"СПК РК ""МУРМАН""",b0581c28f-f41b-667a-82d0-69129b91295c,KAPITAN RUSANOV,Мурманская обл.
Капитан Сковпен,,9944883,РС,,Эксплуатация,Дальневосточный,2536312196,"ООО ""АТЛАНТИК КРАБ""",d08c12330-0dcc-e612-b8ed-a25dba6cc380,KAPITAN SKOVPEN,Приморский край
Капитан Соколов,МК27434,,,,Эксплуатация,Северный,5190405869,"АО «РЫБПРОМИНВЕСТ""",c55841fd1-1126-e7ac-0671-c1b78e9947db,KAPITAN SOKOLOV,Мурманская обл.
Капитан Соляник,,9120281,БАТМ,,Эксплуатация,Дальневосточный,2540257244,"ООО ""ФОРПОСТ""",2634e6546-6329-e81d-5f69-4ebcef19c870,HUMPBACK WHALE,Приморский край
Капитан Сулимов,МК-0255,9120293,,,Эксплуатация,Северный,5191309942,ООО «РОБИНЗОН»,d76c020ea-ab29-1542-f043-b7ddc2c56118,KAPITAN SULIMOV,Мурманская обл.
Капитан Таран,МК8974,9836206,,,Эксплуатация,Северный,5193410948,"ООО ""КОМПАНИЯ ЛКТ""",7e54a4615-5767-8e06-ec47-46f57406a82c,KAPITAN TARAN,Мурманская обл.
Капитан Теплюков,,9176979,,,Эксплуатация,Дальневосточный,4107002304,"Организация ОАО ""КОЛХОЗ ОКТЯБРЬ""",0b6e65f14-4784-18a0-d951-5cbf684a0b1e,KAPITAN TEPLYUKOV,Камчатский край
Капитан Фалеев,,8721131,БМРТ,,Эксплуатация,Дальневосточный,2508007948,"ПАО ""НБАМР""",43663694e-ede3-2e29-e8d1-b27d830d0e5b,KAPITAN FALEYEV,Приморский край
