Название_судна,Бортовой_номер,IMO,Тип_Модель,Год_постройки,Состояние,Регион_работы,Судовладелец_ИНН,Судовладелец,GFW_ID,GFW_Name,Регион_регистрации
Алсей,,8602866,РТ,,Эксплуатация,Дальневосточный,2704007990,"ООО ""АНТЕЙ""",e6154b2e7-7762-4889-fb46-976ec72875e1,ALSEY,Приморский край
Алтын,,,РС,,Эксплуатация,Дальневосточный,2536308584,"АО ""Т-КРАБ""",d38f6e7bd-d742-a295-79e4-1368f9eda973,ALTYN,Приморский край
Алчан,,8747329,РС,,Эксплуатация,Дальневосточный,5190080138,"ООО ""Б-Краб""",4d9823c5d-dd37-e2a7-6f42-21817086896c,ALCHAN,Приморский край
Альбатрос 8,,,СРТМ,,Эксплуатация,Дальневосточный,2723050060,"ООО ""СИГМА МАРИН ТЕХНОЛОДЖИ""",a4dcb218e-eaed-677d-c830-7a9b39d624fe,ALBATROS 8,Хабаровский край
Альмак,МК-0270,,,,Эксплуатация,Северный,5191402420,"ООО КОМПАНИЯ ""АНДРОМЕДА""",14d6186d7-7e85-fed0-a4e3-99ba1e7bcd6a,ALMAK,Мурманская обл.
Альтаир,,,БМРТ,,Эксплуатация,Дальневосточный,6501074974,ЗАО «ОСТРОВ САХАЛИН»,824a76377-7e52-c8a2-dfc2-ccff63353dda,ALTAIR,Сахалинская обл.
Альфа-Кракс,,,,,Эксплуатация,Дальневосточный,6509005281,"ООО ""ВОДОЛЕЙ""",07154b906-61f6-b96f-d89a-d63971b230f4,ALFA,Хабаровский край
Альферас,МК-0277,9264099,,,Эксплуатация,Северный,5190181619,"ООО ""РК ЗАРЯ""",d3a30c237-7700-d3b3-9df3-cac2bbaf6a53,ALFERAS,Мурманская обл.
Амазар,,9109457,РС,,Эксплуатация,Дальневосточный,2536312213,"ООО ""ПАСИФИК КРАБ""",50626c6ff-f829-92d1-c770-25a673f00da4,AMAZAR,Приморский край
Аметист,М-0124,,,,Эксплуатация,Северный,5111000421,"СПК РК ""ВСХОДЫ КОММУНИЗМА""",71bbf8d0b-b464-2e10-6424-c1109784daf3,AMETIST,Мурманская обл.
Амур,,,РС,,Эксплуатация,Дальневосточный,2536312213,"ООО ""ПАСИФИК КРАБ""",3b6af3532-29db-904d-83cb-6f7dac40b3a8,AMUR,Приморский край
Амурское,,9075840,,,Эксплуатация,Дальневосточный,6501292556,"ООО ""ФЛАГМАН ДВ""",d2d030771-1235-f788-8275-64ded82b9f4b,AMURSKOE,Сахалинская обл.
