Запись,Компания,Компания_ИНН,Год,Бассейн,Объект_лова,Тип_квоты,Доля_процент,Объем_тонн,Дата_начала_договора,Дата_окончания_договора,Причина_изменения,Группа_компаний
"ООО ""РЫБОТОРГОВАЯ СЕТЬ"" — Пикша — 2024","ООО ""РЫБОТОРГОВАЯ СЕТЬ""",1002007733,2024,Норвежский,Пикша,Инвестиционная,2.91,335.116,10.08.2018,09.08.2033,,
"ООО ""РЫБОТОРГОВАЯ СЕТЬ"" — Пикша — 2025","ООО ""РЫБОТОРГОВАЯ СЕТЬ""",1002007733,2025,Норвежский,Пикша,Инвестиционная,2.91,305.247,10.08.2018,09.08.2033,Регулятор/Инвестквоты,
"ООО ""РЫБОТОРГОВАЯ СЕТЬ"" — Пикша — 2026","ООО ""РЫБОТОРГОВАЯ СЕТЬ""",1002007733,2026,Норвежский,Пикша,Инвестиционная,2.91,368.464,10.08.2018,09.08.2033,,
"ООО ""РЫБОТОРГОВАЯ СЕТЬ"" — Треска — 2024","ООО ""РЫБОТОРГОВАЯ СЕТЬ""",1002007733,2024,Норвежский,Треска,Инвестиционная,2.91,1122.643,10.08.2018,09.08.2033,,
"ООО ""РЫБОТОРГОВАЯ СЕТЬ"" — Треска — 2025","ООО ""РЫБОТОРГОВАЯ СЕТЬ""",1002007733,2025,Норвежский,Треска,Инвестиционная,2.91,839.366,10.08.2018,09.08.2033,Регулятор/Инвестквоты,
"ООО ""РЫБОТОРГОВАЯ СЕТЬ"" — Треска — 2026","ООО ""РЫБОТОРГОВАЯ СЕТЬ""",1002007733,2026,Норвежский,Треска,Инвестиционная,2.91,701.682,10.08.2018,09.08.2033,Биология/ОДУ,
ООО «РЫБОТОРГОВАЯ СЕТЬ» — Пикша — 2026,ООО «РЫБОТОРГОВАЯ СЕТЬ»,1002007733,2026,Северный,Пикша,Промышленная,,368.464,nan,nan,,
ООО «РЫБОТОРГОВАЯ СЕТЬ» — Треска — 2026,ООО «РЫБОТОРГОВАЯ СЕТЬ»,1002007733,2026,Северный,Треска,Промышленная,,701.682,nan,nan,,
"АО ""КАРЕЛЬСКИЕ МОРЕПРОДУКТЫ"" И — Креветка — 2024","АО ""КАРЕЛЬСКИЕ МОРЕПРОДУКТЫ"" ИЛИ АО ""КМП""",1011005348,2024,Северный,Креветка,Международная,4.517,805.155,08.07.2022,07.07.2037,,ГК Норебо
АО «КАРЕЛЬСКИЕ МОРЕПРОДУКТЫ» И — Креветка — 2026,АО «КАРЕЛЬСКИЕ МОРЕПРОДУКТЫ» ИЛИ АО«КМП»,1011005348,2026,Северный,Креветка,Промышленная,,4.517,nan,nan,,ГК Норебо
АО «КАРЕЛЬСКИЕ МОРЕПРОДУКТЫ» И — Пикша — 2026,АО «КАРЕЛЬСКИЕ МОРЕПРОДУКТЫ» ИЛИ АО«КМП»,1011005348,2026,Северный,Пикша,Промышленная,,1.418,nan,nan,,ГК Норебо
