Запись,Компания,Компания_ИНН,Год,Бассейн,Объект_лова,Тип_квоты,Доля_процент,Объем_тонн,Дата_начала_договора,Дата_окончания_договора,Причина_изменения,Группа_компаний
"ООО ""ИЗВАЛТА"" — Минтай — 2023","ООО ""ИЗВАЛТА""",2508117193,2023,Дальневосточный,Минтай,Промышленная,1.202,289.495,05.09.2018,04.09.2033,,
"ООО ""ИЗВАЛТА"" — Минтай — 2024","ООО ""ИЗВАЛТА""",2508117193,2024,Дальневосточный,Минтай,Промышленная,1.202,263.947,05.09.2018,04.09.2033,Биология/ОДУ,
"ООО ""ИЗВАЛТА"" — Минтай — 2025","ООО ""ИЗВАЛТА""",2508117193,2025,Дальневосточный,Минтай,Промышленная,1.202,197.269,05.09.2018,04.09.2033,Регулятор/Инвестквоты,
"ООО ""ИЗВАЛТА"" — Минтай — 2026","ООО ""ИЗВАЛТА""",2508117193,2026,Дальневосточный,Минтай,Промышленная,1.202,183.557,05.09.2018,04.09.2033,Биология/ОДУ,
ООО «ИЗВАЛТА» — Минтай — 2026,ООО «ИЗВАЛТА»,2508117193,2026,Дальневосточный,Минтай,Промышленная,,1.202,nan,nan,Биология/ОДУ,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2023","ООО ""АКВА-ИНВЕСТ""",2508131550,2023,Дальневосточный,Краб,Инвестиционная,5.263,355.542,31.10.2019,30.10.2034,,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2023","ООО ""АКВА-ИНВЕСТ""",2508131550,2023,Дальневосточный,Краб,Инвестиционная,5.263,13.184,31.10.2019,30.10.2034,,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2023","ООО ""АКВА-ИНВЕСТ""",2508131550,2023,Дальневосточный,Краб,Инвестиционная,5.263,16.177,31.10.2019,30.10.2034,,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2023","ООО ""АКВА-ИНВЕСТ""",2508131550,2023,Дальневосточный,Краб,Инвестиционная,5.263,441.129,31.10.2019,30.10.2034,,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2024","ООО ""АКВА-ИНВЕСТ""",2508131550,2024,Дальневосточный,Краб,Инвестиционная,5.263,353.989,31.10.2019,30.10.2034,Биология/ОДУ,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2024","ООО ""АКВА-ИНВЕСТ""",2508131550,2024,Дальневосточный,Краб,Инвестиционная,5.263,10.71,31.10.2019,30.10.2034,Биология/ОДУ,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2024","ООО ""АКВА-ИНВЕСТ""",2508131550,2024,Дальневосточный,Краб,Инвестиционная,5.263,15.888,31.10.2019,30.10.2034,Биология/ОДУ,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2024","ООО ""АКВА-ИНВЕСТ""",2508131550,2024,Дальневосточный,Краб,Инвестиционная,5.263,441.129,31.10.2019,30.10.2034,Биология/ОДУ,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2025","ООО ""АКВА-ИНВЕСТ""",2508131550,2025,Дальневосточный,Краб,Инвестиционная,5.263,376.831,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2025","ООО ""АКВА-ИНВЕСТ""",2508131550,2025,Дальневосточный,Краб,Инвестиционная,5.263,12.605,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2025","ООО ""АКВА-ИНВЕСТ""",2508131550,2025,Дальневосточный,Краб,Инвестиционная,5.263,15.346,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2025","ООО ""АКВА-ИНВЕСТ""",2508131550,2025,Дальневосточный,Краб,Инвестиционная,5.263,454.368,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2026","ООО ""АКВА-ИНВЕСТ""",2508131550,2026,Дальневосточный,Краб,Инвестиционная,5.263,305.346,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2026","ООО ""АКВА-ИНВЕСТ""",2508131550,2026,Дальневосточный,Краб,Инвестиционная,5.263,10.473,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2026","ООО ""АКВА-ИНВЕСТ""",2508131550,2026,Дальневосточный,Краб,Инвестиционная,5.263,17.939,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""АКВА-ИНВЕСТ"" — Краб — 2026","ООО ""АКВА-ИНВЕСТ""",2508131550,2026,Дальневосточный,Краб,Инвестиционная,5.263,545.376,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""ТРК"" — Краб — 2023","ООО ""ТРК""",2508136358,2023,Дальневосточный,Краб,Инвестиционная,5.263,355.542,31.10.2019,30.10.2034,,
"ООО ""ТРК"" — Краб — 2023","ООО ""ТРК""",2508136358,2023,Дальневосточный,Краб,Инвестиционная,5.263,13.184,31.10.2019,30.10.2034,,
"ООО ""ТРК"" — Краб — 2023","ООО ""ТРК""",2508136358,2023,Дальневосточный,Краб,Инвестиционная,5.263,16.177,31.10.2019,30.10.2034,,
"ООО ""ТРК"" — Краб — 2023","ООО ""ТРК""",2508136358,2023,Дальневосточный,Краб,Инвестиционная,5.263,441.129,31.10.2019,30.10.2034,,
"ООО ""ТРК"" — Краб — 2024","ООО ""ТРК""",2508136358,2024,Дальневосточный,Краб,Инвестиционная,5.263,353.989,31.10.2019,30.10.2034,Биология/ОДУ,
"ООО ""ТРК"" — Краб — 2024","ООО ""ТРК""",2508136358,2024,Дальневосточный,Краб,Инвестиционная,5.263,10.71,31.10.2019,30.10.2034,Биология/ОДУ,
"ООО ""ТРК"" — Краб — 2024","ООО ""ТРК""",2508136358,2024,Дальневосточный,Краб,Инвестиционная,5.263,15.888,31.10.2019,30.10.2034,Биология/ОДУ,
"ООО ""ТРК"" — Краб — 2024","ООО ""ТРК""",2508136358,2024,Дальневосточный,Краб,Инвестиционная,5.263,441.129,31.10.2019,30.10.2034,Биология/ОДУ,
"ООО ""ТРК"" — Краб — 2025","ООО ""ТРК""",2508136358,2025,Дальневосточный,Краб,Инвестиционная,5.263,376.831,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""ТРК"" — Краб — 2025","ООО ""ТРК""",2508136358,2025,Дальневосточный,Краб,Инвестиционная,5.263,12.605,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""ТРК"" — Краб — 2025","ООО ""ТРК""",2508136358,2025,Дальневосточный,Краб,Инвестиционная,5.263,15.346,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""ТРК"" — Краб — 2025","ООО ""ТРК""",2508136358,2025,Дальневосточный,Краб,Инвестиционная,5.263,454.368,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""ТРК"" — Краб — 2026","ООО ""ТРК""",2508136358,2026,Дальневосточный,Краб,Инвестиционная,5.263,305.346,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""ТРК"" — Краб — 2026","ООО ""ТРК""",2508136358,2026,Дальневосточный,Краб,Инвестиционная,5.263,10.473,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""ТРК"" — Краб — 2026","ООО ""ТРК""",2508136358,2026,Дальневосточный,Краб,Инвестиционная,5.263,17.939,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""ТРК"" — Краб — 2026","ООО ""ТРК""",2508136358,2026,Дальневосточный,Краб,Инвестиционная,5.263,545.376,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
ООО «ПРЕОБРАЖЕНИЕ ВОСТОКА» — Зирфея — 2026,ООО «ПРЕОБРАЖЕНИЕ ВОСТОКА»,2508144045,2026,Дальневосточный,Зирфея,Промышленная,,7.143,nan,nan,,ГК РРПК
"ООО ""Преображение Востока"" — Зирфея (307) — 2024","ООО ""Преображение Востока""",2508144045,2024,Дальневосточный,Зирфея (307),Промышленная,7.143,1.4264,13.04.2022,12.04.2037,,ГК РРПК
"ООО ""ПРЕОБРАЖЕНИЕ ВОСТОКА"" — Зирфея (307) — 2025","ООО ""ПРЕОБРАЖЕНИЕ ВОСТОКА""",2508144045,2025,Дальневосточный,Зирфея (307),Промышленная,7.143,1.426,13.04.2022,12.04.2037,,ГК РРПК
"ООО ""ПРЕОБРАЖЕНИЕ ВОСТОКА"" — Зирфея (307) — 2026","ООО ""ПРЕОБРАЖЕНИЕ ВОСТОКА""",2508144045,2026,Дальневосточный,Зирфея (307),Промышленная,7.143,1.419,13.04.2022,12.04.2037,,ГК РРПК
"ООО ""Восток"" — Краб — 2024","ООО ""Восток""",2508145352,2024,Дальневосточный,Краб,Инвестиционная,5.555,373.629,09.11.2023,08.11.2038,,ГК Гидрострой
"ООО ""Восток"" — Краб — 2024","ООО ""Восток""",2508145352,2024,Дальневосточный,Краб,Инвестиционная,5.555,16.098,09.11.2023,08.11.2038,,ГК Гидрострой
"ООО ""Восток"" — Краб — 2024","ООО ""Восток""",2508145352,2024,Дальневосточный,Краб,Инвестиционная,5.555,446.979,09.11.2023,08.11.2038,,ГК Гидрострой
"ООО ""ВОСТОК"" — Краб — 2025","ООО ""ВОСТОК""",2508145352,2025,Дальневосточный,Краб,Инвестиционная,5.555,397.738,09.11.2023,08.11.2038,Регулятор/Инвестквоты,ГК Гидрострой
"ООО ""ВОСТОК"" — Краб — 2025","ООО ""ВОСТОК""",2508145352,2025,Дальневосточный,Краб,Инвестиционная,5.555,15.549,09.11.2023,08.11.2038,Регулятор/Инвестквоты,ГК Гидрострой
"ООО ""ВОСТОК"" — Краб — 2025","ООО ""ВОСТОК""",2508145352,2025,Дальневосточный,Краб,Инвестиционная,5.555,460.394,09.11.2023,08.11.2038,Регулятор/Инвестквоты,ГК Гидрострой
"ООО ""ВОСТОК"" — Краб — 2026","ООО ""ВОСТОК""",2508145352,2026,Дальневосточный,Краб,Инвестиционная,5.555,309.396,09.11.2023,08.11.2038,Регулятор/Инвестквоты,ГК Гидрострой
"ООО ""ВОСТОК"" — Краб — 2026","ООО ""ВОСТОК""",2508145352,2026,Дальневосточный,Краб,Инвестиционная,5.555,18.177,09.11.2023,08.11.2038,Регулятор/Инвестквоты,ГК Гидрострой
"ООО ""ВОСТОК"" — Краб — 2026","ООО ""ВОСТОК""",2508145352,2026,Дальневосточный,Краб,Инвестиционная,5.555,552.609,09.11.2023,08.11.2038,Регулятор/Инвестквоты,ГК Гидрострой
"ООО ""Минтай плюс"" — Минтай — 2024","ООО ""Минтай плюс""",2508146719,2024,Дальневосточный,Минтай,Промышленная,8.833,659.428,31.08.2018,30.08.2033,,
"ООО ""МИНТАЙ ПЛЮС"" — Минтай — 2025","ООО ""МИНТАЙ ПЛЮС""",2508146719,2025,Дальневосточный,Минтай,Промышленная,8.833,582.617,31.08.2018,30.08.2033,Регулятор/Инвестквоты,
"ООО ""Треска плюс"" — Треска — 2023","ООО ""Треска плюс""",2508146726,2023,Дальневосточный,Треска,Промышленная,18.371,334.744,30.08.2018,29.08.2033,,
"ООО ""Треска плюс"" — Треска — 2024","ООО ""Треска плюс""",2508146726,2024,Дальневосточный,Треска,Промышленная,18.371,270.693,30.08.2018,29.08.2033,Биология/ОДУ,
"ООО ""ТРЕСКА ПЛЮС"" — Треска — 2025","ООО ""ТРЕСКА ПЛЮС""",2508146726,2025,Дальневосточный,Треска,Промышленная,18.371,269.142,30.08.2018,29.08.2033,,
"ООО ""МУССОН ПРИМ"" — Минтай — 2026","ООО ""МУССОН ПРИМ""",2508152720,2026,Дальневосточный,Минтай,Промышленная,0.914,2758.399,30.08.2018,29.08.2033,,
"ООО ""МУССОН ПРИМ"" — Минтай — 2026","ООО ""МУССОН ПРИМ""",2508152720,2026,Дальневосточный,Минтай,Промышленная,0.058,54.794,05.09.2018,04.09.2033,,
ООО «МУССОН ПРИМ» — Минтай — 2026,ООО «МУССОН ПРИМ»,2508152720,2026,Дальневосточный,Минтай,Промышленная,,0.914,nan,nan,,
"ООО ""МУССОН ПРИМ"" — Сельдь — 2026","ООО ""МУССОН ПРИМ""",2508152720,2026,Дальневосточный,Сельдь,Промышленная,0.993,3176.541,30.08.2018,29.08.2033,,
ООО «МУССОН ПРИМ» — Сельдь — 2026,ООО «МУССОН ПРИМ»,2508152720,2026,Дальневосточный,Сельдь,Промышленная,,0.993,nan,nan,,
"ПАО ""ПБТФ"" — Краб — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Краб,Промышленная,0.709,47.896,05.09.2018,04.09.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Краб — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Краб,Промышленная,2.824,141.35,31.08.2018,30.08.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Краб — 2024","ПАО ""ПБТФ""",2518000814,2024,Дальневосточный,Краб,Промышленная,2.824,141.35,31.08.2018,30.08.2033,Биология/ОДУ,ГК Гидрострой
"ПАО ""ПБТФ"" — Краб — 2025","ПАО ""ПБТФ""",2518000814,2025,Дальневосточный,Краб,Промышленная,2.824,174.735,31.08.2018,30.08.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Краб — 2026","ПАО ""ПБТФ""",2518000814,2026,Дальневосточный,Краб,Промышленная,2.824,171.675,31.08.2018,30.08.2033,,ГК Гидрострой
ПАО «ПБТФ» — Краб — 2026,ПАО «ПБТФ»,2518000814,2026,Дальневосточный,Краб,Промышленная,,2.824,nan,nan,Регулятор/Инвестквоты,ГК Гидрострой
"ПАО ""ПБТФ"" — Креветка — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Креветка,Промышленная,17.894,196.261,29.08.2018,28.08.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Ламинарии — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Ламинарии,Промышленная,24.193,483.558,31.08.2018,30.08.2033,,ГК Гидрострой
ПАО «ПБТФ» — Ламинарии — 2026,ПАО «ПБТФ»,2518000814,2026,Дальневосточный,Ламинарии,Промышленная,,24.193,nan,nan,,ГК Гидрострой
"ПАО ""ПБТФ"" — Ламинарии (949) — 2024","ПАО ""ПБТФ""",2518000814,2024,Дальневосточный,Ламинарии (949),Промышленная,24.193,362.585,31.08.2018,30.08.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Ламинарии (949) — 2025","ПАО ""ПБТФ""",2518000814,2025,Дальневосточный,Ламинарии (949),Промышленная,24.193,350.392,31.08.2018,30.08.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Ламинарии (949) — 2026","ПАО ""ПБТФ""",2518000814,2026,Дальневосточный,Ламинарии (949),Промышленная,24.193,362.409,31.08.2018,30.08.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Минтай — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Минтай,Промышленная,29.659,29723.653,05.09.2018,04.09.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Минтай — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Минтай,Промышленная,2.863,13567.538,05.09.2018,04.09.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Минтай — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Минтай,Промышленная,6.457,18906.785,31.08.2018,30.08.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Минтай — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Минтай,Промышленная,5.268,11793.946,05.09.2018,04.09.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Минтай — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Минтай,Промышленная,2.863,34.82,05.09.2018,04.09.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Минтай — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Минтай,Промышленная,6.457,18906.785,31.08.2018,30.08.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Минтай — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Минтай,Промышленная,2.863,34.82,05.09.2018,04.09.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Минтай — 2024","ПАО ""ПБТФ""",2518000814,2024,Дальневосточный,Минтай,Промышленная,0.649,757.017,19.10.2023,18.10.2038,Биология/ОДУ,ГК Гидрострой
"ПАО ""ПБТФ"" — Минтай — 2024","ПАО ""ПБТФ""",2518000814,2024,Дальневосточный,Минтай,Промышленная,2.863,15531.327,05.09.2018,04.09.2033,Биология/ОДУ,ГК Гидрострой
"ПАО ""ПБТФ"" — Минтай — 2025","ПАО ""ПБТФ""",2518000814,2025,Дальневосточный,Минтай,Промышленная,0.649,852.985,19.10.2023,18.10.2038,Регулятор/Инвестквоты,ГК Гидрострой
"ПАО ""ПБТФ"" — Минтай — 2025","ПАО ""ПБТФ""",2518000814,2025,Дальневосточный,Минтай,Промышленная,2.863,16862.86,05.09.2018,04.09.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Минтай — 2026","ПАО ""ПБТФ""",2518000814,2026,Дальневосточный,Минтай,Промышленная,0.649,890.42,19.10.2023,18.10.2038,Биология/ОДУ,ГК Гидрострой
"ПАО ""ПБТФ"" — Минтай — 2026","ПАО ""ПБТФ""",2518000814,2026,Дальневосточный,Минтай,Промышленная,2.863,12731.9,05.09.2018,04.09.2033,Биология/ОДУ,ГК Гидрострой
ПАО «ПБТФ» — Минтай — 2026,ПАО «ПБТФ»,2518000814,2026,Дальневосточный,Минтай,Промышленная,,0.649,nan,nan,Биология/ОДУ,ГК Гидрострой
"ПАО ""ПБТФ"" — Морской еж серый — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Морской еж серый,Промышленная,13.934,126.643,29.08.2018,28.08.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Морской еж серый (821) — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Морской еж серый (821),Промышленная,13.934,126.643,29.08.2018,28.08.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Морской еж серый (821) — 2024","ПАО ""ПБТФ""",2518000814,2024,Дальневосточный,Морской еж серый (821),Промышленная,13.934,126.627,29.08.2018,28.08.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Морской еж черный — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Морской еж черный,Промышленная,48.447,203.167,31.08.2018,30.08.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Морской еж черный (940) — 2024","ПАО ""ПБТФ""",2518000814,2024,Дальневосточный,Морской еж черный (940),Промышленная,48.447,203.167,31.08.2018,30.08.2033,,ГК Гидрострой
"ПАО ""ПБТФ"" — Сельдь — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Сельдь,Промышленная,8.011,2582.61,13.04.2020,12.04.2035,,ГК Гидрострой
"ПАО ""ПБТФ"" — Сельдь — 2023","ПАО ""ПБТФ""",2518000814,2023,Дальневосточный,Сельдь,Промышленная,8.011,2582.61,13.04.2020,12.04.2035,,ГК Гидрострой
"ПАО ""ПБТФ"" — Сельдь — 2024","ПАО ""ПБТФ""",2518000814,2024,Дальневосточный,Сельдь,Промышленная,8.011,2598.672,13.04.2020,12.04.2035,Биология/ОДУ,ГК Гидрострой
"пао ""пбтф"" — Сельдь — 2025","пао ""пбтф""",2518000814,2025,Дальневосточный,Сельдь,Промышленная,8.011,3153.102,13.04.2020,12.04.2035,,ГК Гидрострой
"ПАО ""ПБТФ"" — Сельдь — 2026","ПАО ""ПБТФ""",2518000814,2026,Дальневосточный,Сельдь,Промышленная,8.011,3808.93,13.04.2020,12.04.2035,,ГК Гидрострой
ПАО «ПБТФ» — Сельдь — 2026,ПАО «ПБТФ»,2518000814,2026,Дальневосточный,Сельдь,Промышленная,,8.011,nan,nan,Регулятор/Инвестквоты,ГК Гидрострой
"ООО ""Восход"" — Краб — 2023","ООО ""Восход""",2518001230,2023,Дальневосточный,Краб,Инвестиционная,5.263,355.542,31.10.2019,30.10.2034,,
"ООО ""Восход"" — Краб — 2023","ООО ""Восход""",2518001230,2023,Дальневосточный,Краб,Инвестиционная,5.263,13.184,31.10.2019,30.10.2034,,
"ООО ""Восход"" — Краб — 2023","ООО ""Восход""",2518001230,2023,Дальневосточный,Краб,Инвестиционная,5.263,16.177,31.10.2019,30.10.2034,,
"ООО ""Восход"" — Краб — 2023","ООО ""Восход""",2518001230,2023,Дальневосточный,Краб,Инвестиционная,5.263,441.129,31.10.2019,30.10.2034,,
"ООО ""ВОСХОД"" — Краб — 2024","ООО ""ВОСХОД""",2518001230,2024,Дальневосточный,Краб,Инвестиционная,5.263,353.989,31.10.2019,30.10.2034,Биология/ОДУ,
"ООО ""ВОСХОД"" — Краб — 2024","ООО ""ВОСХОД""",2518001230,2024,Дальневосточный,Краб,Инвестиционная,5.263,10.71,31.10.2019,30.10.2034,Биология/ОДУ,
"ООО ""ВОСХОД"" — Краб — 2024","ООО ""ВОСХОД""",2518001230,2024,Дальневосточный,Краб,Инвестиционная,5.263,15.888,31.10.2019,30.10.2034,Биология/ОДУ,
"ООО ""ВОСХОД"" — Краб — 2024","ООО ""ВОСХОД""",2518001230,2024,Дальневосточный,Краб,Инвестиционная,5.263,441.129,31.10.2019,30.10.2034,Биология/ОДУ,
"ООО ""ВОСХОД"" — Краб — 2025","ООО ""ВОСХОД""",2518001230,2025,Дальневосточный,Краб,Инвестиционная,5.263,376.831,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""ВОСХОД"" — Краб — 2025","ООО ""ВОСХОД""",2518001230,2025,Дальневосточный,Краб,Инвестиционная,5.263,12.605,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""ВОСХОД"" — Краб — 2025","ООО ""ВОСХОД""",2518001230,2025,Дальневосточный,Краб,Инвестиционная,5.263,15.346,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""ВОСХОД"" — Краб — 2025","ООО ""ВОСХОД""",2518001230,2025,Дальневосточный,Краб,Инвестиционная,5.263,454.368,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""ВОСХОД"" — Краб — 2026","ООО ""ВОСХОД""",2518001230,2026,Дальневосточный,Краб,Инвестиционная,5.263,10.473,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""ВОСХОД"" — Краб — 2026","ООО ""ВОСХОД""",2518001230,2026,Дальневосточный,Краб,Инвестиционная,5.263,17.939,31.10.2019,30.10.2034,Регулятор/Инвестквоты,
"ООО ""восход"" — Краб — 2026","ООО ""восход""",2518001230,2026,Дальневосточный,Краб,Промышленная,100.0,147.3,13.09.2022,12.09.2037,,
"ООО ""ВОСХОД"" — Краб — 2026","ООО ""ВОСХОД""",2518001230,2026,Дальневосточный,Краб,Промышленная,10.313,626.941,29.08.2018,28.08.2033,,
ООО «ВОСХОД» — Краб — 2026,ООО «ВОСХОД»,2518001230,2026,Дальневосточный,Краб,Промышленная,,100.0,nan,nan,,
ООО «ВОСХОД» — Краб — 2026,ООО «ВОСХОД»,2518001230,2026,Дальневосточный,Краб,Промышленная,,10.313,nan,nan,,
"ООО ""Велес-Снек"" — Кальмар — 2023","ООО ""Велес-Снек""",2521015225,2023,Дальневосточный,Кальмар,Инвестиционная,11.75,1997.488,14.09.2022,13.09.2037,,
"ООО ""ВЕЛЕС-СНЕК"" — Кальмар — 2024","ООО ""ВЕЛЕС-СНЕК""",2521015225,2024,Дальневосточный,Кальмар,Инвестиционная,11.75,1997.371,14.09.2022,13.09.2037,,
"ООО ""Велес-Снек"" — Камбалы дальневосточные — 2023","ООО ""Велес-Снек""",2521015225,2023,Дальневосточный,Камбалы дальневосточные,Инвестиционная,11.75,52.241,14.09.2022,13.09.2037,,
"ООО ""ВЕЛЕС-СНЕК"" — Камбалы дальневосточные (451) — 2023","ООО ""ВЕЛЕС-СНЕК""",2521015225,2023,Дальневосточный,Камбалы дальневосточные (451),Инвестиционная,11.75,52.593,14.09.2022,13.09.2037,,
"ООО ""ВЕЛЕС-СНЕК"" — Камбалы дальневосточные (451) — 2024","ООО ""ВЕЛЕС-СНЕК""",2521015225,2024,Дальневосточный,Камбалы дальневосточные (451),Инвестиционная,11.75,49.303,14.09.2022,13.09.2037,Регулятор/Инвестквоты,
"ООО ""Велес-Снек"" — Макрурусы — 2023","ООО ""Велес-Снек""",2521015225,2023,Дальневосточный,Макрурусы,Инвестиционная,11.75,234.998,14.09.2022,13.09.2037,,
"ООО ""ВЕЛЕС-СНЕК"" — Макрурусы (210) — 2024","ООО ""ВЕЛЕС-СНЕК""",2521015225,2024,Дальневосточный,Макрурусы (210),Инвестиционная,11.75,281.833,14.09.2022,13.09.2037,,
"ООО ""ВЕЛЕС-СНЕК"" — Минтай — 2026","ООО ""ВЕЛЕС-СНЕК""",2521015225,2026,Дальневосточный,Минтай,Промышленная,2.493,305.42,31.08.2018,30.08.2033,,
ООО «ВЕЛЕС-СНЕК» — Минтай — 2026,ООО «ВЕЛЕС-СНЕК»,2521015225,2026,Дальневосточный,Минтай,Промышленная,,2.0,nan,nan,,
"ООО ""Велес-Снек"" — Терпуги — 2023","ООО ""Велес-Снек""",2521015225,2023,Дальневосточный,Терпуги,Инвестиционная,11.75,391.94,14.09.2022,13.09.2037,,
"ООО ""ВЕЛЕС-СНЕК"" — Терпуги (692) — 2023","ООО ""ВЕЛЕС-СНЕК""",2521015225,2023,Дальневосточный,Терпуги (692),Инвестиционная,11.75,392.222,14.09.2022,13.09.2037,,
"ООО ""ВЕЛЕС-СНЕК"" — Терпуги (692) — 2024","ООО ""ВЕЛЕС-СНЕК""",2521015225,2024,Дальневосточный,Терпуги (692),Инвестиционная,11.75,338.055,14.09.2022,13.09.2037,Биология/ОДУ,
"ООО ""Велес-Снек"" — Треска — 2023","ООО ""Велес-Снек""",2521015225,2023,Дальневосточный,Треска,Инвестиционная,11.75,286.38,14.09.2022,13.09.2037,,
"ООО ""ВЕЛЕС-СНЕК"" — Треска — 2023","ООО ""ВЕЛЕС-СНЕК""",2521015225,2023,Дальневосточный,Треска,Инвестиционная,11.75,288.965,14.09.2022,13.09.2037,,
"ООО ""ВЕЛЕС-СНЕК"" — Треска — 2024","ООО ""ВЕЛЕС-СНЕК""",2521015225,2024,Дальневосточный,Треска,Инвестиционная,11.75,272.473,14.09.2022,13.09.2037,Биология/ОДУ,
"ООО ""Русский Минтай"" — Минтай — 2023","ООО ""Русский Минтай""",2521015391,2023,Дальневосточный,Минтай,Инвестиционная,3.427,750.913,25.05.2018,24.05.2033,,
"ООО ""Русский Минтай"" — Минтай — 2023","ООО ""Русский Минтай""",2521015391,2023,Дальневосточный,Минтай,Инвестиционная,3.427,3507.993,25.05.2018,24.05.2033,,
"ООО ""Русский Минтай"" — Минтай — 2023","ООО ""Русский Минтай""",2521015391,2023,Дальневосточный,Минтай,Инвестиционная,3.427,2177.262,25.05.2018,24.05.2033,,
"ООО ""Русский Минтай"" — Минтай — 2023","ООО ""Русский Минтай""",2521015391,2023,Дальневосточный,Минтай,Инвестиционная,3.427,9.003,25.05.2018,24.05.2033,,
"ООО ""Русский Минтай"" — Минтай — 2023","ООО ""Русский Минтай""",2521015391,2023,Дальневосточный,Минтай,Инвестиционная,3.427,750.913,25.05.2018,24.05.2033,,
"ООО ""Русский Минтай"" — Минтай — 2023","ООО ""Русский Минтай""",2521015391,2023,Дальневосточный,Минтай,Инвестиционная,3.427,9.003,25.05.2018,24.05.2033,,
