ИНН,Юр_Лицо,Группа_Компаний,Исключить,Комментарий,Директор_ListOrg
1001206119,"ООО ""ГРУППА ""БАРЕНЦ""",,,,МАКАРОВА ВАЛЕРИЯ ВАЛЕНТИНОВНА
1001324472,"ООО ""НОРДМАР""",,,,МАСАЛЫТИН ВАДИМ ВЛАДИМИРОВИЧ
1001345828,"ООО ""АЗИМУТ""",Группа Согласие,,,ЧИРКОВ СЕРГЕЙ АНАТОЛЬЕВИЧ
1002006360,"ООО ""СОГЛАСИЕ""",Группа Согласие,,,ЧЕВЫЧАЛО ИГОРЬ ВИКТОРОВИЧ
1002007733,"ООО "" РЫБОТОРГОВАЯ СЕТЬ""",,,,ГАПАНОВИЧ ЮЛИЯ ВИКТОРОВНА
1011005348,"ООО ""Карельские морепродукты""",ГК Норебо,,,СТАРКОВ ДЕНИС АЛЕКСЕЕВИЧ
1011007024,"РЫБОЛОВЕЦКИЙ КОЛХОЗ ""ЗАРЯ СЕВЕРА""",,,,ЕГОРОВ ИВАН ГРИГОРЬЕВИЧ
1011007070,"КОЛХОЗ ""БЕЛОМОР""",,,,КЛОПОВ СЕРГЕЙ СЕМИОНОВИЧ
1011008571,"ООО ""РК ""ВИРМА""",Группа Согласие,,,ЧЕВЫЧАЛО ИГОРЬ ВИКТОРОВИЧ
1011008814,"ООО ""ПКФ ""БУССОЛЬ""",,,,ЗАОЗЕРСКИЙ ОЛЕГ ЮРЬЕВИЧ
1018005330,"АО ""АЛЬТЕРНАТИВА""",ГК Норебо,,,СТАРКОВ ДЕНИС АЛЕКСЕЕВИЧ
2500000073,"АО ""ДАЛЬРЫБА""",,,,МАЛАХОВ ДЕНИС АЛЕКСАНДРОВИЧ
2502072933,"ООО ""ПРИМОРСКИЕ МОЛЛЮСКИ""",ГК Гидрострой,,,ЕФРЕМОВ АЛЕКСАНДР ВЛАДИМИРОВИЧ
2502077466,"ООО ""ПРИМОРСКИЙ МИНТАЙ""",ГК Доброфлот,,,ЕФРЕМОВА АРИНА ЛЕОНИДОВНА
2503017090,"ООО ""Юния""",,,,
2503023449,"АО ""РК ""НОВЫЙ МИР""",ГК Гидрострой,,,
2503029553,"ОАО ""РК ""ПРИМОРЕЦ""",,,,ГОРДИЕНКО АЛЕКСЕЙ ПЕТРОВИЧ
2503030527,"АО ""АЛЬБАКОР ПРИМ""",ГК Доброфлот,,,ФЕДОТОВ СЕРГЕЙ ВЯЧЕСЛАВОВИЧ
2503032475,"ООО ""РК ""ПРИМРЫБФЛОТ""",ГК Гидрострой,,,ГРУШКО ЮРИЙ АНАТОЛЬЕВИЧ
2503037829,"ООО ""НАУТИЛУС""",,,,АВДОШКИН ЯКОВ ЮРЬЕВИЧ
2505008333,"ООО ""МОРСКОЙ БРИЗ""",ГК УТРФ,,,ЗАКШЕВСКИЙ АНАТОЛИЙ ИВАНОВИЧ
2505015228,"ООО ""ВИКТОРИЯ""",,,,КУРАШКИН ЕВГЕНИЙ АНАТОЛЬЕВИЧ
2508007948,"ПАО ""НБАМР""",,,,ДАРЬКИН ОЛЕГ МИХАЙЛОВИЧ
2508044467,"ООО ""Софко""",Сигма-Марин,,,ПЕТРУШИН МАКСИМ ВАЛЕНТИНОВИЧ
2508051859,"ООО РПК ""РЫБАЦКИЙ ПУТЬ""",,,,ГИРАК МАКСИМ СЕРГЕЕВИЧ
2508052972,"ООО ""ИНСОФ МАРИН""",,,,ХЕГАЙ НИКОЛАЙ НИКОЛАЕВИЧ
2508110494,"ООО ""РК ""ТИХИЙ ОКЕАН""",,,,БИКТУДИН РОМАН АБДУЛЛОВИЧ
2508111410,"ООО НРК ""МАРЕН""",,,,ИСТРАТИЙ СЕРГЕЙ ВАСИЛЬЕВИЧ
2508113992,"АО ""ПРИМРЫБФЛОТ""",ГК Доброфлот,,,ФЕДОТОВ СЕРГЕЙ ВЯЧЕСЛАВОВИЧ
2508117193,"ООО ""ИЗВАЛТА""",,,,МОГИЛЬНЫЙ ИГОРЬ ВАЛЕРЬЕВИЧ
2508131550,"ООО ""АКВА-ИНВЕСТ""",,,,ВОЛКОВ СЕРГЕЙ ВИКТОРОВИЧ
2508136358,"ООО ""ТРК""",,,,ГРИШИН АНДРЕЙ ВИКТОРОВИЧ
2508144045,"ООО ""РРПК-Дальний Восток""",ГК УТРФ,,РРПК-Д,ЗАКШЕВСКИЙ АНАТОЛИЙ ИВАНОВИЧ
2508145352,"ООО ""Восток""",ГК Гидрострой ПБТФ,,дочерняя структура ПБТФ,ЕРЕМЕЕВ СЕРГЕЙ МСТИСЛАВОВИЧ
