ИНН,Юр_Лицо,Группа_Компаний,Исключить,Комментарий,Директор_ListOrg
2537039207,"АО ""ОРИОН ПАСИФИК""",,,,ТЮЛЕГЕНОВ ЗИНУР ХАЛИЛОВИЧ
2537042030,"ООО ""АКВАТЕХНОЛОГИИ""",ГК Гидрострой,,,Слепченко Сергей Владимирович
2537068039,"ООО ""ДАЛЬТРАНСФЛОТ""",,,,СЕМЕНОВ ЕВГЕНИЙ ГЕОРГИЕВИЧ
2537134570,"ООО ""ВОСТОК""",,,,ПЛЕЧИЙ АЛЕКСАНДР МИХАЙЛОВИЧ
2537143374,"ООО ""ТОЧКА ОМЕГА""",,,,ЛИФАНОВ ГЕРМАН ГЕРМАНОВИЧ
253714616101,ИП Логинова Светлана Ивановна,,,,
2538003718,"АО ""ВОСТОКТРАНССЕРВИС""",,,,РЕБИКОВ ВЛАДИМИР МИХАЙЛОВИЧ
2538021453,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",ГК РРПК,,,
2539107572,"АО ""ТЕФИДА""",,,,
2540077410,"ООО ""ВОСХОД-ДВ""",,,,МИХАЙЛОВ АЛЕКСАНДР ВЛАДИМИРОВИЧ
2540078397,"АО ""ДАЛЬРЫБПРОМ""",,,,ОЗЁРКИН ГЕННАДИЙ ВИКТОРОВИЧ
2540176115,"ООО ""АТЛАНТ""",,,,КАЛМАЗАН ДМИТРИЙ ВЛАДИМИРОВИЧ
2540199962,"АО  ""ДМП-РМ""",,,,
2540206874,"ООО ""АЛИТЕТ ДВ""",,,,СУВОРОВ ЮРИЙ АЛЕКСЕЕВИЧ
2540212733,"ООО ""РЕАЛ ДЕВЕЛОПМЕНТ""",,,,"( АО ""ДРУК"" - управляющая организация; - учредитель до 26.04.2023 * ; - директор до 31.08.2021 * , учредитель до 26.04.2023 * ; - директор до 15.01.2025 * ; - директор до 27.06.2023 * ; - учредитель до 15.05.2024 * ) ООО ""КРАБ МАРИН"" ( АО ""ДРУК"" - управляющая организация; - директор до 10.08.2021 * , учредитель до 25.04.2023 * ; - директор до 25.12.2025 * ; - директор до 02.06.2023 * ; - учредитель до 23.04.2025 * ; - учредитель до 07.11.2025 * ) ООО ""РЫБНЫЙ ОСТРОВ"" ( АО ""ДРУК"" - управляющая организация; - директор до 12.03.2020 * , учредитель до 13.09.2021 * ; - директор до 27.12.2024 * ; - директор до 04.09.2023 * ; - учредитель до 17.05.2024 * ) ( АО ""ДРУК"" - управляющая организация; - директор до 03.09.2021 * , учредитель до 25.04.2023 * ; - директор до 25.12.2025 * ; - учредитель до 23.04.2025 * ; - учредитель до 07.11.2025 * ) ООО ""МУССОН ДВ"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 08.09.2021 * ; - директор до 25.12.2025 * ; - учредитель до 24.04.2025 * ; - учредитель до 30.10.2025 * ) ООО ""ДВ АКВАРЕСУРС"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 08.02.2021 * , генеральный директор до 26.02.2021 * ) ( АО ""ДРУК"" - управляющая организация; - директор до 24.04.2020 * , учредитель до 14.08.2020 * ) ООО ""РЕАЛ МАРИН"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 07.04.2025 * ; - директор до 20.04.2021 * ) ООО ""ВБТФ"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 07.11.2025 * , директор до 29.12.2025 * ) ( АО ""ДРУК"" - управляющая организация; - учредитель до 07.04.2025 * , генеральный директор до 13.05.2025 * ) Беленький Дан Михайлович (генеральный директор АО ""ДРУК"" ) ООО ""АПЕЛЛА"" ( АО ""ДРУК"" - управляющая организация; находится по одному адресу с ООО ""РЕАЛ ДЕВЕЛОПМЕНТ"" ) ( АО ""ДРУК"" - управляющая организация) ООО ""КУК"" ( АО ""ДРУК"" - управляющая организация) АО ""Р/К ""ВОСТОК-1"" ( АО ""ДРУК"" - управляющая организация) ( АО ""ДРУК"" - управляющая организация) ООО ""ПРИМИНВЕСТ-С"" ( АО ""ДРУК"" - управляющая организация) показать ещё 46 организаций, в которых АО ""ДРУК"" - управляющая организация СПК РК ""ВОСХОД"" ( - председатель правления, учредитель) ( - учредитель до 24.01.2020 * , директор до 28.01.2020 * ; - директор до 13.12.2018 * ) (учредитель АО ""ДРУК"" до 25.06.2024 * , генеральный директор АО ""ДРУК"" до 18.07.2024 * ) ООО ""ТАЙФУН"" ( - учредитель до 24.01.2020 * , генеральный директор до 28.01.2020 * ) ( - директор до 24.01.2019 * ; - учредитель до 14.01.2020 * ) ООО ""КРАБ ДВ"" ( - учредитель до 19.02.2020 * , директор до 02.03.2020 * ) ООО ""ТРЕСКА М"" ( - директор) АО ""КРАБ ДМП"" ( - генеральный директор до 28.01.2020 * ) ООО ""АЛЬБА-СТРОЙ ДВ"" ( - директор до 21.03.2025 * , учредитель до 21.03.2025 * ) ( - учредитель до 19.02.2020 * ) АО ХК ""ДМП"" ( - генеральный директор до 18.03.2021 * ) ООО ""ФОРМУЛА ДВ"" ( - генеральный директор до 08.08.2023 * ) ( - руководитель юридического лица) ООО ""ВЛАДКОМПАС"" (ликвидир. 16.09.2002) ( - директор) ООО ""ПРОМСНАБ"" (ликвидир. 17.12.2018) ( - генеральный директор, учредитель) ( - директор, учредитель) ООО ""АЛЬЯНС"" ( - учредитель до 10.09.2024 * ) ООО ""АРКТУР"" (ликвидир. 31.12.2016) ( - учредитель) ( - генеральный директор) ООО ЦЭУ ""ЭФФЕКТИВНАЯ ЛОГИСТИКА"" (находилось по одному адресу с ООО ""РЕАЛ ДЕВЕЛОПМЕНТ"" )"
2540214522,"ООО ""ПРИМРЫБОПРОДУКТ""",,,,"( Андреев Антон Александрович - учредитель) ООО ""МОРЕПРОДУКТЫ ВОСТОКА"" ( Андреев Антон Александрович - учредитель) ООО ""КУРИЛЬСКИЕ ОСТРОВА"" ( - директор, учредитель до 09.06.2023 * ) ( - директор до 03.04.2018 * ) ООО ""КАТРАН"" ( - учредитель до 30.03.2018 * ) ООО ""ЛЕТО"" (ликвидир. 11.07.2025) ( - учредитель до 16.12.2024 * , директор до 12.03.2025 * ) (находилось по одному адресу с ООО ""ПРИМРЫБОПРОДУКТ"" )"
2540227955,"ООО ""КРАБ МАРИН""",,,,"( АО ""ДРУК"" - управляющая организация; - учредитель до 08.02.2021 * , генеральный директор до 26.02.2021 * ; - учредитель до 07.04.2025 * , генеральный директор до 13.05.2025 * ; - генеральный директор до 30.11.2018 * ) ООО ""РЕАЛ ДЕВЕЛОПМЕНТ"" ( АО ""ДРУК"" - управляющая организация; - директор до 24.12.2021 * , учредитель до 25.04.2023 * ; - директор до 15.01.2025 * ; - директор до 02.06.2023 * ; - учредитель до 15.05.2024 * ) ООО ""ЗБТФ"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 07.04.2025 * , директор до 13.05.2025 * ; - директор до 08.02.2018 * , учредитель до 19.02.2018 * ) ( АО ""ДРУК"" - управляющая организация; - учредитель до 07.04.2025 * , генеральный директор до 13.05.2025 * ; - генеральный директор до 08.02.2018 * , учредитель до 19.02.2018 * ) ООО ""РЫБНЫЙ ОСТРОВ"" ( АО ""ДРУК"" - управляющая организация; - директор до 12.03.2020 * , учредитель до 13.09.2021 * ; - директор до 27.12.2024 * ; - учредитель до 20.02.2023 * ; - учредитель до 17.05.2024 * ) ООО ""ПРИБРЕЖНЫЙ ЛОВ"" ( АО ""ДРУК"" - управляющая организация; - директор до 03.09.2021 * , учредитель до 25.04.2023 * ; - директор до 25.12.2025 * ; - учредитель до 07.11.2025 * ; - учредитель до 23.04.2025 * ) ( АО ""ДРУК"" - управляющая организация; - учредитель до 26.04.2023 * ; - директор до 15.01.2025 * ; - директор до 27.06.2023 * ; - учредитель до 15.05.2024 * ) ООО ""МОРСКИЕ ПЕРЕВОЗКИ И ТОРГОВЛЯ"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 07.04.2025 * , директор до 13.05.2025 * ; - учредитель до 10.04.2020 * , директор до 30.04.2020 * ) ООО ""МУССОН ДВ"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 08.09.2021 * ; - директор до 25.12.2025 * ; - учредитель до 28.04.2023 * ; - учредитель до 30.10.2025 * ; - учредитель до 24.04.2025 * ) ( АО ""ДРУК"" - управляющая организация; - учредитель до 23.04.2025 * ; - учредитель до 06.08.2020 * ; - учредитель до 27.08.2018 * ) ООО ""ЦИКЛОН ДВ"" ( АО ""ДРУК"" - управляющая организация; - директор до 01.11.2023 * , учредитель до 07.04.2025 * ) ООО ""МОРСКОЙ БРИЗ"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 07.04.2025 * , директор до 13.05.2025 * ) ( АО ""ДРУК"" - управляющая организация; - директор до 02.12.2022 * , учредитель до 04.04.2025 * ) ООО ""АСКАНИЯ"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 12.03.2025 * , директор до 03.04.2025 * ) ООО ""МОСТСТРОЙ"" ( АО ""ДРУК"" - управляющая организация; - генеральный директор до 30.06.2021 * , учредитель до 04.04.2025 * ) ( АО ""ДРУК"" - управляющая организация; - учредитель до 04.04.2025 * , генеральный директор до 13.05.2025 * ) ООО ""ВБТФ"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 07.11.2025 * , директор до 29.12.2025 * ) ООО ""АЛЕУТ-ИНКАМ"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 12.03.2025 * , генеральный директор до 03.04.2025 * ) ( АО ""ДРУК"" - управляющая организация; - учредитель до 07.04.2025 * ) ООО ""АГАТИС"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 07.04.2025 * , генеральный директор до 13.05.2025 * ) ООО ""ДМП-КРАБ"" ( - генеральный директор, учредитель до 07.04.2025 * ; - учредитель до 10.04.2020 * , генеральный директор до 30.04.2020 * ) (генеральный директор АО ""ДРУК"" ) ООО ""ГУНЧАН"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 04.04.2025 * ) ООО ""ВЛАДОРИОН"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 04.04.2025 * ) ( АО ""ДРУК"" - управляющая организация; - учредитель до 12.02.2025 * ) ООО ""ТД ДАЛЬМОРЕПРОДУКТ"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 12.03.2025 * ) ООО ГК ""ДАЛЬМОРЕПРОДУКТ"" ( АО ""ДРУК"" - управляющая организация; - учредитель до 12.03.2025 * ) ( АО ""ДРУК"" - управляющая организация) ООО ""КУК"" ( АО ""ДРУК"" - управляющая организация) АО ""Р/К ""ВОСТОК-1"" ( АО ""ДРУК"" - управляющая организация) ( АО ""ДРУК"" - управляющая организация) ООО ""ПРИМИНВЕСТ-С"" ( АО ""ДРУК"" - управляющая организация) показать ещё 31 организацию, в которых АО ""ДРУК"" - управляющая организация ( - директор, учредитель до 07.04.2025 * ) ООО ""КРАБ ДВ"" ( - учредитель до 19.02.2020 * , директор до 02.03.2020 * ; - директор, учредитель до 20.11.2025 * ) ООО ""ХАСАНРЫБА"" ( - учредитель до 24.01.2020 * , директор до 28.01.2020 * ; - ликвидатор до 17.06.2023 * , учредитель до 20.11.2025 * ) ( - учредитель до 24.01.2020 * , генеральный директор до 28.01.2020 * ; - генеральный директор до 31.05.2021 * , учредитель до 20.11.2025 * ) (учредитель АО ""ДРУК"" до 25.06.2024 * , генеральный директор АО ""ДРУК"" до 18.07.2024 * ) ООО ""КВМ"" ( - генеральный директор, учредитель до 20.11.2025 * ) ( - генеральный директор, учредитель до 19.11.2025 * ) ООО ""МАСТЕР КРАБ"" ( - генеральный директор, учредитель до 20.11.2025 * ) ООО ""АТЛАНТИКА"" ( - учредитель до 19.02.2020 * ; - генеральный директор до 05.03.2020 * , учредитель до 28.11.2025 * ) ( - директор) ООО ""ПАСИФИК МАРИН ТРОЛЕРЗ"" ( - управляющая организация до 21.12.2025 * ; находилось по одному адресу с ООО ""КРАБ МАРИН"" ) АО ""КРАБ ДМП"" ( - генеральный директор до 28.01.2020 * ) ( - директор до 24.01.2019 * ) ООО ""АВТОИНВЕСТ ДВ"" (ликвидир. 11.01.2008) ( - генеральный директор, учредитель) ООО ""ИГРА ПЛЮС"" (ликвидир. 22.05.2006) ( - генеральный директор, учредитель) ( - учредитель до 28.11.2024 * ) ООО ""АВАНГАРД-1"" (ликвидир. 16.08.2024) ( - учредитель, генеральный директор до 29.12.2023 * ) АО ХК ""ДМП"" ( - генеральный директор до 18.03.2021 * ) ( - генеральный директор до 05.03.2020 * ) АО ""ЧУКОТРЫБПРОМХОЗ"" (ликвидир. 09.03.2022) ( - генеральный директор) ООО ""ПРОМСНАБ"" (ликвидир. 17.12.2018) ( - генеральный директор, учредитель) ( - генеральный директор до 04.10.2023 * ) ООО ТК ""ВОСТОЧНЫЙ МЕРИДИАН"" ( - учредитель до 20.11.2025 * ) ООО ""ДЕФРИЗ"" ( - учредитель до 03.12.2019 * ) ( - учредитель до 12.03.2025 * ) ООО ""КОМПАНИЯ ""ПАРИТЕТ-М"" (ликвидир. 06.04.2015) ( - учредитель) ООО ""ТЭК ""МЕРИДИАН"" (ликвидир. 14.04.2016) ( - учредитель) ( Макаров Владимир Александрович - генеральный директор) ООО ""ПРИЧАЛ-ДВ"" (ликвидир. 22.02.2022) ( Дремлюга Алена Дмитриевна - учредитель) ООО ""ВЛАД МОТОР ИНН КОРПОРЕЙШН"" (ликвидир. 18.10.2019) ( Дремлюга Алена Дмитриевна - учредитель)"
2540229670,"ООО ""Эбису""",,,,
2540231253,"ООО ""ВЕРТЕКС-ПРОФ""",,,,
2540232063,"АО ""КРАБ ДМП""",,,,
2540261794,"ООО ""Аринай""",,,,
2540270647,"ООО ""Калан""",,,,
2540288411,"ООО ""КАЛЬМАР-1""",,,,
2540291083,"ООО ""СЕЛЬДЬ 1""",,,,
2543053560,"ООО ""Охотское""",,,,
2543105698,"ООО ""Триера""",ГК Гидрострой,,,
2543108709,"АО ""Северная звезда""",Группа Согласие,,,ЛУКАНИН АЛЕКСЕЙ АЛЕКСАНДРОВИЧ
2543121019,"ООО ""Морской ветер""",,,,
2543141431,"ООО ""Морист""",,,,
2543142322,"Проверка контрагента по ИНН – больше, чем выписка из ЕГРЮЛ",,,,
2543142330,"ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ""",,,,"(правопреемник ООО ""БОСАНТУР-2"" ; Макарова Наталья Владимировна - генеральный директор, учредитель; - учредитель до 20.06.2022 * ) ООО ""ДВ РЫБАК"" ( Макаров Сергей Владимирович - учредитель; - генеральный директор, учредитель до 03.06.2022 * ; - учредитель до 11.11.2020 * ) ООО ""КОДФИШ"" ( Макаров Сергей Владимирович - генеральный директор, учредитель; - учредитель до 23.12.2022 * , генеральный директор до 17.03.2023 * ) ( Макарова Наталья Владимировна - генеральный директор, учредитель; - учредитель до 11.11.2020 * ) ООО ""ТУМЖДИН"" ( Макаров Сергей Владимирович - директор, учредитель; находится по одному адресу с ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ"" ) ООО ""ПОЛНОВОДНОЕ"" ( Макаров Сергей Владимирович - директор, учредитель; находится по одному адресу с ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ"" ) ( Макаров Сергей Владимирович - генеральный директор, учредитель) ООО ""МИНТАЙ ПРОМ"" ( Макаров Сергей Владимирович - генеральный директор; Макарова Наталья Владимировна - учредитель; находится по одному адресу с ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ"" ) ООО ""СИЗИМАН"" ( Макаров Сергей Владимирович - генеральный директор, учредитель) (правопреемник ООО ""БОСАНТУР-2"" ; - генеральный директор до 02.10.2020 * ; - генеральный директор, учредитель; находилось по старому адресу ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ"" ) ООО ""ДВ ПРИЧАЛ"" ( Макаров Сергей Владимирович - учредитель; - учредитель до 03.06.2022 * ; - учредитель до 11.11.2020 * ) ООО ""СВЕТЛЫЕ БЕРЕГА"" ( Макаров Сергей Владимирович - учредитель; - учредитель до 22.03.2022 * ) (коммерческий директор ООО ""ОСК"" ) ООО ""ПРК"" (учредитель ООО ""БОСАНТУР-2"" ) ООО ""СВАРОГ-Б"" (учредитель ООО ""БОСАНТУР-2"" ) ( Макарова Наталья Владимировна - председатель правления; находилось по одному адресу с ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ"" ) ООО ""ДВТЕХНОРЕСУРС"" ( Макаров Сергей Владимирович - учредитель) ООО ""КАМЧАТСКРЫБА"" ( Макарова Наталья Владимировна - учредитель) ( Макарова Наталья Владимировна - учредитель) АО ""ДРУК"" (управляющая организация ООО ""БОСАНТУР-2"" ) ООО ""ДМСС"" (правопреемник ООО ""БОСАНТУР-2"" ) ( - учредитель; - генеральный директор, учредитель) ООО ""АКВАПРОМ ИНВЕСТ"" ( - учредитель до 11.10.2024 * ; - учредитель; находится по старому адресу ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ"" ) ООО ""ЧУКОТРЫБА"" ( - генеральный директор, учредитель) ( - управляющий директор, учредитель) ТСО КМНС ""ХАЛБЫ"" ( - учредитель до 15.12.2021 * , председатель правления до 20.05.2025 * ; находилось по одному адресу с ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ"" ) ООО ""ЧУКОТКА"" ( - генеральный директор, учредитель) ( - генеральный директор, учредитель) ООО ""СКРАП"" ( - генеральный директор, учредитель) ООО ""СТРЕЛЕЦ"" ( - директор, учредитель) ( - генеральный директор, учредитель) ООО ""ВИТ КО ЛТД"" ( - учредитель, директор до 31.03.2025 * ; находилось по старому адресу ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ"" ) ООО ""ВЕЛЕС-СНЕК"" ( - директор до 03.11.2020 * ; - директор) ( - учредитель до 20.07.2018 * ) ООО ""СИГНАЛ-АВТО"" ( - учредитель до 01.08.2023 * ) ООО ""КРЕВЕТКА ДВ"" ( - генеральный директор, учредитель до 29.12.2025 * ) ( - учредитель, генеральный директор до 19.03.2024 * ) ООО ""РЫБА"" (ликвидир. 22.10.2022) ( ООО ""БОСАНТУР-2"" - правопредшественник; Макарова Наталья Владимировна - учредитель; - учредитель) (директор ООО ""БОСАНТУР-2"" до 20.10.2025 * ) (директор ООО ""БОСАНТУР-2"" до 09.07.2025 * ) (директор ООО ""БОСАНТУР-2"" до 06.05.2024 * ) (директор ООО ""БОСАНТУР-2"" до 24.05.2021 * ) (учредитель ООО ""БОСАНТУР-2"" до 28.03.2022 * ) (учредитель ООО ""БОСАНТУР-2"" до 26.09.2019 * ) (учредитель ООО ""БОСАНТУР-2"" до 26.09.2019 * ) ( - учредитель до 15.12.2021 * ) СЕМЕЙНАЯ (РОДОВАЯ) ОБЩИНА МАЛОЧИСЛЕННЫХ НАРОДОВ ""КУРУН"" ( - председатель общины до 26.02.2025 * ; находилось по одному адресу с ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ"" ) ООО ""СТАЛ"" ( - учредитель) ( - директор) ООО ""РПК ""ПАСИФИК"" ( - исполнительный директор) ООО ""СИЛЬВЕР ФИШ"" ( - исполнительный директор) ООО ""РЫБОЛОВЕЦКАЯ АРТЕЛЬ (КОЛХОЗ) ""НИЖНЕЕ ПРОНГЕ"" ( - генеральный директор до 08.04.2019 * ) ООО ""ПРИБОЙ-ВОСТОК"" ( - генеральный директор до 15.05.2023 * ) показать ещё 6 организаций, в которых Мячин Олег Владимирович - руководитель ( - учредитель) ООО ""ФОРМУЛА"" (ликвидир. 19.06.2025) ( ООО ""БОСАНТУР-2"" - правопредшественник; - учредитель до 23.12.2022 * ; - директор, учредитель) ООО ""СВЕТЛОЕ МОРЕ"" (ликвидир. 15.07.2024) ( ООО ""БОСАНТУР-2"" - правопредшественник; - учредитель до 13.12.2023 * ; - генеральный директор; находилось по старому адресу ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ"" ) ( Макаров Сергей Владимирович - учредитель; - учредитель, директор до 06.09.2019 * ) ООО ""МАРИНИСТ"" ( - учредитель до 03.12.2021 * , генеральный директор до 28.02.2022 * ) АО ""ДВРК"" ( - учредитель до 04.01.2022 * , генеральный директор до 02.08.2022 * ) ( Макаров Сергей Владимирович - генеральный директор) ООО ""ССК"" (ликвидир. 24.11.2025) ( Макаров Сергей Владимирович - учредитель) ООО ""АМУРЧОНОК ПЛЮС"" (ликвидир. 01.12.2017) ( Макаров Сергей Владимирович - учредитель) ( Макаров Сергей Владимирович - учредитель) ООО СК ""АМУРЧОНОК"" (ликвидир. 11.05.2021) ( Макаров Сергей Владимирович - учредитель) ООО ""СЕВЕРНАЯ КРЕВЕТКА"" (ликвидир. 28.05.2020) ( ООО ""БОСАНТУР-2"" - правопредшественник) ( - генеральный директор до 21.04.2022 * ) ( - учредитель; - генеральный директор) ООО ""ТРИЕРА М"" (ликвидир. 11.08.2025) ( - генеральный директор, учредитель) ООО ""МИНТАЙ ПЛЮС"" (ликвидир. 11.08.2025) ( - генеральный директор, учредитель) ( - генеральный директор, учредитель) ООО ""ФОРК"" (ликвидир. 20.04.2017) ( - генеральный директор, учредитель) ООО ""ВЕРТЕКС-ПРОФ МИНТАЙ"" (ликвидир. 17.09.2020) ( - генеральный директор, учредитель) ( - генеральный директор, учредитель) РЫБОДОБЫВАЮЩАЯ КОМПАНИЯ ПРИБРЕЖЬЕ ООО (ликвидир. 17.08.2004) ( - директор, учредитель) ООО ""ШТУРМАН"" ( - учредитель до 31.07.2018 * ) ( - учредитель до 24.02.2021 * ) ООО ""ТОТ"" ( - учредитель до 12.02.2021 * ) ТСЖ ""ГРИНПАРК"" ( - учредитель до 03.01.2022 * ) ( - учредитель до 20.07.2018 * ; - учредитель до 20.07.2018 * , генеральный директор до 03.08.2018 * ) ООО ""ЮНИЯ"" (ликвидир. 22.08.2024) ( - учредитель до 23.12.2022 * ; - учредитель до 12.12.2023 * , директор до 15.12.2023 * ) ООО ""ПРИБРЕЖНОЕ"" (ликвидир. 14.06.2019) ( - учредитель до 20.07.2018 * ) ООО ""ФАВОРИТ"" (ликвидир. 20.10.2020) ( - учредитель) ( - учредитель) ООО ""ПОСЕЙДОН +"" (ликвидир. 22.12.2015) ( - учредитель) ООО ""ШРИМС"" (ликвидир. 28.12.2024) ( - учредитель до 09.02.2024 * , генеральный директор до 25.04.2024 * ) ( - учредитель до 03.02.2023 * , генеральный директор до 15.06.2023 * ) ООО СЗ ""АРТСТРОЙТОРГ"" (находится по старому адресу ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ"" ) ООО ""МЕГАСТРОЙКОМ"" (находится по старому адресу ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ"" ) ( - генеральный директор до 06.12.2018 * ) ООО ""КАММИНТ"" (ликвидир. 05.07.2024) ( - учредитель до 22.09.2023 * ) (находилось по старому адресу ООО ""СЕВЕРО-ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ"" )"
