ИНН,Название_объекта,Вид_объекта,Страна,Регион,Продукция,Виды_деятельности,Статус,Хоз_субъект,Судно
1004013073,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / форель радужная мороженая (0303),"расфасовка, реализация, производство, разделка, разведение, хранение, переработка",Без ограничений,,0
1004013073,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / форель мороженая б/г (0303),"расфасовка, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
1004013073,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / икра форели соленая охлажденная (1604)","расфасовка, перемещение, производство, хранение",Без ограничений,,0
1004013073,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба свежая или охлажденная лососевых пород / икра форели охлажденная (0302),"расфасовка, реализация, производство, разделка, разведение, хранение, переработка",Исключено,,0
1004013073,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая лососевых пород / форель мороженая (0303),"расфасовка, производство, разделка, разведение, хранение",Без ограничений,,0
2536308584,"РС ""Каюм"", АО ""Т-Краб""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Приморский край,Рыба и морепродукты / рыба мороженая / субпродукты рыбные (0303),"перевозка подконтрольной продукции, получение подконтрольной продукции (молоко, яйцо, мёд и т. д.), производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т-КРАБ""",1
2536308584,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба мороженая / молоки рыбные, икра ястычная с/м (0303)","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536308584,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде / креветка мороженая (0306)","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536308584,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","расфасовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
2536308584,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
4108002392,"ООО ""РПФ ""КамНОРиС""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Камчатский край,Рыба и морепродукты / рыба мороженая / лосось тихоокеанский мороженый (0303),"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЫБОПРОМЫШЛЕННАЯ ФИРМА ""КАМНОРИС""",0
4108002392,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба мороженая / молоки рыбные, икра ястычная с/м (0303)","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
4108002392,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / икра лососевых пород рыб мороженая, соленая (1604)","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536308584,"РС ""Алтын"", АО ""Т-Краб""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Приморский край,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые","перевозка подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т-КРАБ""",1
2536308584,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","перемещение, реализация, производство, хранение",Без ограничений,,0
7017260176,"ООО ""Бриз""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Томская обл.,Рыба и морепродукты / рыба мороженая / сельдь мороженая (0303),"производство (переработка) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БРИЗ""",0
4101138370,"СРТМ ""АВАЧА"", ООО ""ПОЛАРИС""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Камчатский край,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные.","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛАРИС""",1
4101138370,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"перемещение, реализация, производство, хранение, переработка",Без ограничений,,0
6501289105,"РС ""Островной-2"", ООО Рыбокомбинат ""ОСТРОВНОЙ""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Сахалинская обл.,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные. / кукумария живая (0308)","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ РЫБОКОМБИНАТ ""ОСТРОВНОЙ""",1
6501289105,,,Страны Таможенного Союза,,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные. / морской еж живой (0308)","расфасовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
6501289105,,,Страны Таможенного Союза,,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные.","вылов, расфасовка, перемещение, производство, хранение",Без ограничений,,0
6501289105,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые","вылов, расфасовка, перемещение, производство, хранение",Без ограничений,,0
6501289105,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","вылов, расфасовка, перемещение, производство, хранение",Без ограничений,,0
253715090446,ИП Чиреев Евгений Юрьевич,рыбоперерабатывающие предприятия,Страны Таможенного Союза,Приморский край,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","временное содержание животных, перевозка подконтрольной продукции, получение подконтрольной продукции (молоко, яйцо, мёд и т. д.), производство (переработка) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,ЧИРЕЕВ ЕВГЕНИЙ ЮРЬЕВИЧ,0
253715090446,,,Страны Таможенного Союза,,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные.","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
253715090446,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые","перемещение, реализация, производство, разведение, хранение, переработка",Без ограничений,,0
253715090446,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / икра лососевых пород рыб мороженая, соленая (1604)","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
253715090446,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые / икра морского ежа (0307)","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
253715090446,,,Страны Таможенного Союза,,Рыба и морепродукты / полуфабрикаты рыбные,"расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
253715090446,,,Страны Таможенного Союза,,"Рыба и морепродукты / филе рыбное и прочее мясо рыбы лососевых пород (включая фарш), свежие, охлажденные или мороженые","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
253715090446,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,"ООО ""Фландерр""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Московская обл.,Рыба и морепродукты / рыба мороженая,"производство (переработка) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФЛАНДЕРР""",0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовые или консервированные ракообразные, моллюски и прочие водные беспозвоночные / мидии в растительном масле копченые (1605)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / филе леща вяленого (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / семга слабосоленая (0305)","расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / килька балтийская пряного посола (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / скумбрия пряного посола (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовые или консервированные ракообразные, моллюски и прочие водные беспозвоночные / кальмар в растительном масле (1605)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / форель слабосоленая (0305)","расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / скумбрия в масле (1604)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовые или консервированные ракообразные, моллюски и прочие водные беспозвоночные / морской коктейль (1605)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / камбала вяленая (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / ряпушка вяленая (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / тюлька вяленая (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / красноперка вяленая (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / густера вяленая (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / тарань вяленая (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / вобла вяленая (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / плотва вяленая (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / чехонь вяленая (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / щука вяленая (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / пелядь вяленая (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / минтай вяленый (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / минтай филе сушеный (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / янтарная филе с перцем (путассу) сушеная (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / филе янтарная сушеная (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / нарезка янтарная (путассу) с перцем сушеная (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / Филе янтарной рыбки (путассу) сушеная (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / лещ горячего копчения (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / лещ холодного копчения (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / скумбрия горячего копчения (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / скумбрия холодного копчения (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / горбуша холодного копчения (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / Жерех холодного копчения (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовые или консервированные ракообразные, моллюски и прочие водные беспозвоночные / каракатица в масле (1605)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовые или консервированные ракообразные, моллюски и прочие водные беспозвоночные / креветка королевская (1605)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовые или консервированные ракообразные, моллюски и прочие водные беспозвоночные / креветка коктейльная (1605)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / Масляная филе-кусок (балык) холодного копчения (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / Филе масляной рыбы холодного копчения (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / мойва холодного копчения (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / палтус холодного копчения (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / форель холодного копчения (0305)","расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / Ассорти горбуши и скумбрии холодного копчения (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / кальмар копченый (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / ассорти рыбное холодного копчения (масляная рыба, горбуша) (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / сельдь пряного посола (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / семга соленая (0305)","расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / форель соленая (0305)","расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовые или консервированные ракообразные, моллюски и прочие водные беспозвоночные / мидии готовые (1605)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовые или консервированные ракообразные, моллюски и прочие водные беспозвоночные / готовый морской коктейль (1605)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / филе сельди в масле (1604)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / филе сельди с укропом (1604)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовые или консервированные ракообразные, моллюски и прочие водные беспозвоночные / осьминог в масле (1605)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / филе сельди соленое (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовые или консервированные ракообразные, моллюски и прочие водные беспозвоночные / мидии натуральные (1605)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / филе сельди слабосоленое (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / филе семги соленое (0305)","расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / филе форели в масле со специями (1604)","расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / хамса неразделанная соленая в рассоле (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / филе форели соленое (0305)","расфасовка, перемещение, производство, разделка, хранение, переработка продукции аквакультуры",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / сельдь иваси пряного посола (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / сардина тихоокеанская (иваси) пряного посола (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / филе сельди в специях (1604)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / ассорти рыбное соленое (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / скумбрия натуральная с добавлением масла (1604)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5050050422,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения / скумбрия соленая (0305)","расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
