ИНН,Название_объекта,Вид_объекта,Страна,Регион,Продукция,Виды_деятельности,Статус,Хоз_субъект,Судно
6518005270,"СРТМ ""Браттег"" (ООО ПКФ «Южно-Курильский рыбокомбинат»)",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Сахалинская обл.,"Рыба и морепродукты / рыба мороженая / субпродукты рыбные (головы, калтыки, икра ястычная, молоки) (0303)","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""ЮЖНО-КУРИЛЬСКИЙ РЫБОКОМБИНАТ""",0
6518005270,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / икра в ястыках лососевых рыб мороженая (0303),"перемещение, реализация, производство, хранение, переработка",Без ограничений,,0
6518005270,,,Страны Таможенного Союза,,"Рыба и морепродукты / филе рыбное и прочее мясо рыбы (включая фарш), свежие, охлажденные или мороженые","расфасовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
6518005270,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая лососевых пород,"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
6518005270,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая лососевых пород / молоки лососевые мороженые (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
6518005270,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая лососевых пород / головы лосося мороженые (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
6518005270,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / икра минтая ястычная мороженая (0303),"расфасовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
6518005270,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / икра трески в ястыках мороженая (0303),"расфасовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
6518005270,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / головы минтая мороженые (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
6518005270,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / головы трески мороженые (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
6518005270,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / печень минтая мороженая (0303),"расфасовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
6518005270,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / печень трески мороженая (0303),"расфасовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
6518005270,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые / кальмар мороженый (0307)","расфасовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
6518005270,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"расфасовка, перемещение, производство, разделка, хранение, переработка",Без ограничений,,0
2508110494,"СТР ""Узон""-ООО ""РК ""Тихий океан""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Приморский край,Рыба и морепродукты / рыба мороженая,промысел (добыча) подконтрольной продукции,Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЫБОЛОВЕЦКИЙ КОЛХОЗ ""ТИХИЙ ОКЕАН""",1
4100000530,"АО ""Океанрыбфлот"", Судно рыболовное ""XX Съезд ВЛКСМ""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Камчатский край,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные.","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОКЕАНРЫБФЛОТ""",1
4100000530,,,Страны Таможенного Союза,,Рыба и морепродукты,"вылов, расфасовка, перемещение, производство, разделка, хранение, переработка",Без ограничений,,0
4100000530,,,Страны Таможенного Союза,,Корма и кормовые добавки / мука рыбная кормовая,"расфасовка, производство, хранение",Без ограничений,,0
4100000530,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"вылов, расфасовка, перемещение, производство, разделка, хранение, переработка",Без ограничений,,0
4100000530,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая лососевых пород,"перемещение, производство, разделка, хранение",Без ограничений,,0
4100000530,,,Страны Таможенного Союза,,"Рыба и морепродукты / филе рыбное и прочее мясо рыбы (включая фарш), свежие, охлажденные или мороженые","расфасовка, перемещение, производство, разделка, хранение, переработка",Без ограничений,,0
2543015236,"ООО ""Девятый вал""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Приморский край,Рыба и морепродукты / рыба мороженая лососевых пород,производство (переработка) подконтрольной продукции,Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕВЯТЫЙ ВАЛ""",0
2543015236,,,Страны Таможенного Союза,,Рыба и морепродукты / полуфабрикаты рыбные / полуфабрикаты рыбные (1604),"расфасовка, заготовка, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
2543015236,,,Страны Таможенного Союза,,"Рыба и морепродукты / водные беспозвоночные, кроме ракообразных и моллюсков, живые свежие, охлажденные, мороженные. / икра морского ежа мороженая (0308)","реализация, производство, разделка, хранение, переработка",Без ограничений,,0
2543015236,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовые или консервированные ракообразные, моллюски и прочие водные беспозвоночные","расфасовка, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
2543015236,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые","расфасовка, заготовка, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
2543015236,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"производство, хранение, переработка",Без ограничений,,0
2543015236,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","расфасовка, заготовка, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
1018005330,"МК-0271 ""Нордкап"" (АО ""Альтернатива"")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,Рыба и морепродукты,"перевозка (хранение) кормов и кормовых добавок, перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, производство кормов и кормовых добавок, промысел (добыча) подконтрольной продукции, реализация кормов и кормовых добавок, реализация подконтрольной продукции",Запись подтверждена,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬТЕРНАТИВА""",1
3019000426,"ООО ""ДАВИКА""",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Астраханская обл.,Рыба и морепродукты / рыба мороженая / рыба и рыбопродукция мороженая (0303),"производство (переработка) подконтрольной продукции, реализация подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАВИКА""",0
3019000426,,,Страны Таможенного Союза,,"Рыба и морепродукты / филе рыбное и прочее мясо рыбы (включая фарш), свежие, охлажденные или мороженые","расфасовка, заготовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
3019000426,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба сушеная, соленая или в рассоле; рыба горячего или холодного копчения","расфасовка, заготовка, перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
5190130170,"ООО ""Мурманские рыбопродукты"" (цех по переработке рыбы)",рыбоперерабатывающие предприятия,Страны Таможенного Союза,Мурманская обл.,"Рыба и морепродукты / филе рыбное и прочее мясо рыбы (включая фарш), свежие, охлажденные или мороженые","производство (переработка) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МУРМАНСКИЕ РЫБОПРОДУКТЫ""",0
5190130170,,,Страны Таможенного Союза,,Рыба и морепродукты,"реализация, разделка, хранение, переработка",Временные ограничения,,0
5190130170,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"перемещение, производство, разделка, хранение",Без ограничений,,0
5191324764,"МК-0113 ""Кепромар"" (ООО ""Арго-М"")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / консервы ""Печень трески натуральная"" (1604)","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРГО-М""",1
5191324764,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"перемещение, реализация, производство, разделка, хранение, переработка",Временные ограничения,,0
2917000164,"АК4315 ""КУЛОЙ""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,Рыба и морепродукты / рыба мороженая,"производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции",Запись подтверждена,"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ  ПРОИЗВОДСТВЕННЫЙ  КООПЕРАТИВ  ""РЫБОЛОВЕЦКИЙ  КОЛХОЗ  ""СЕВЕР""",1
8203002223,ООО «Восточный берег» Рыбоперерабатывающий завод сезонного действия в с. Ивашка Карагинского муниципального района Камчатского края,рыбоперерабатывающие предприятия,Страны Таможенного Союза,Камчатский край,Рыба и морепродукты,"производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОСТОЧНЫЙ БЕРЕГ""",0
8203002223,,,Страны Таможенного Союза,,"Рыба и морепродукты / рыба мороженая / молоки рыбные, икра ястычная с/м (0303)","вылов, перемещение, производство, хранение",Без ограничений,,0
8203002223,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"вылов, расфасовка, производство, разделка, хранение",Без ограничений,,0
8203002223,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / икра лососевых пород рыб мороженая, соленая (1604)","вылов, перемещение, производство, хранение",Без ограничений,,0
8203002223,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / икра лососевая соленая (1604)","вылов, расфасовка, перемещение, производство, хранение",Без ограничений,,0
650700161604,ИП Ренжин Сергей Александрович,рыбоперерабатывающие предприятия,Страны Таможенного Союза,Сахалинская обл.,Рыба и морепродукты,"производство (переработка) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,РЕНЖИН СЕРГЕЙ АЛЕКСАНДРОВИЧ,0
2704007990,"СРТ ""Юпитер""","предприятия по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Приморский край,Рыба и морепродукты / рыба свежая или охлажденная / иваси охлажденная (0302),"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНТЕЙ""",0
2704007990,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба свежая или охлажденная / скумбрия свежая (0302),"вылов, заготовка, перемещение, реализация, производство, хранение",Без ограничений,,0
2704007990,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде / краб живой (0306)","вылов, перемещение, реализация, производство, хранение",Без ограничений,,0
2704007990,,,Страны Таможенного Союза,,Рыба и морепродукты / живая рыба,реализация,Без ограничений,,0
5191314798,"МК-0188 ""Комарно"" (ООО ""Севрыбкомфлот"")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,Рыба и морепродукты / рыба мороженая,"производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции, перевозка подконтрольной продукции, реализация подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВРЫБКОМФЛОТ""",1
5191314798,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / субпродукты рыбные (0303),"перемещение, реализация, производство, разделка, хранение, переработка",Без ограничений,,0
5191314798,,,Страны Таможенного Союза,,Рыба и морепродукты,"реализация, разделка, хранение, переработка",Исключено,,0
5191204516,"М-0259 ""Диомидис"" (ЗАО ""Арктиксервис"")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРКТИКСЕРВИС""",1
5191204516,,,Страны Таможенного Союза,,Рыба и морепродукты,"реализация, разделка, хранение, переработка",Без ограничений,,0
2536247860,"ООО ""РОЛИЗ"" Рыболовное судно ""КАПИТАН КАЙЗЕР""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Камчатский край,Рыба и морепродукты,"перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОЛИЗ""",1
2536247860,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / икра минтая ястычная мороженая (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536247860,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / молоки минтая мороженые (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536247860,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / печень минтая мороженая (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536247860,,,Страны Таможенного Союза,,"Рыба и морепродукты / моллюски, в раковине или без раковины, живые, свежие, охлажденные, мороженые","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536247860,,,Страны Таможенного Союза,,"Рыба и морепродукты / филе рыбное и прочее мясо рыбы (включая фарш), свежие, охлажденные или мороженые","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536247860,,,Страны Таможенного Союза,,Рыба и морепродукты / мука рыбная кормовая,"вылов, расфасовка, перемещение, производство, разделка, хранение",Усиленный лабораторный контроль,,0
2536247860,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
2536247860,,,Страны Таможенного Союза,,"Рыба и морепродукты / жиры, масла и их фракции, из рыбы или морских млекопитающих, нерафинированные или рафинированные, но без изменения химического состава","вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5193104130,"МК-0381 ""Мирах"" (АО ""Мурмансельдь 2"")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,"Продукция, не требующая разрешения / готовая пищевая продукция / готовые изделия из рыбы и морепродуктов ()","перевозка подконтрольной продукции, производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСЕЛЬДЬ 2""",1
5193104130,,,Страны Таможенного Союза,,"Рыба и морепродукты / замороженая, охлажденная продукция из рыбы, ракообразных, моллюсков и прочих водных беспозвоночных","реализация, производство, разделка, хранение, переработка",Исключено,,0
5193104130,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая / субпродукты рыбные (0303),"вылов, расфасовка, перемещение, производство, разделка, хранение",Без ограничений,,0
5193104130,,,Страны Таможенного Союза,,"Рыба и морепродукты / готовая или консервированная рыба; икра осетровых и ее заменители, изготовленные из икринок рыбы / рыбные консервы (1604)","перемещение, производство, хранение",Без ограничений,,0
5193104130,,,Страны Таможенного Союза,,Рыба и морепродукты,"перемещение, реализация, производство, разделка, хранение, переработка",Исключено,,0
5193104130,,,Страны Таможенного Союза,,Рыба и морепродукты / рыба мороженая,"вылов, перемещение, производство, разделка, хранение",Без ограничений,,0
5193104130,,,Страны Таможенного Союза,,"Рыба и морепродукты / ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые; сваренные на пару или в кипящей воде","вылов, расфасовка, перемещение, производство, хранение",Без ограничений,,0
5100000010,"МК0121 ""КИЛЬДИН"" (ПАО ""Мурманский траловый флот"")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,Рыба и морепродукты / рыба свежая или охлажденная,"производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКИЙ ТРАЛОВЫЙ ФЛОТ""",1
6501237700,"СРТМ ""Геркулес""","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Камчатский край,Рыба и морепродукты,"производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции",Запись подтверждена,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОСРЫБФЛОТ""",1
2917001834,"МК20038 ""Валентин Мантуров"" (АО ""РК ""Согра"")","предприятия (суда) по добыче, переработке и транспортировке гидробионтов",Страны Таможенного Союза,Мурманская обл.,Рыба и морепродукты / мука рыбная кормовая,"производство (переработка) подконтрольной продукции, промысел (добыча) подконтрольной продукции, реализация подконтрольной продукции, хранение подконтрольной продукции",Запись подтверждена,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЫБОЛОВЕЦКАЯ КОМПАНИЯ ""СОГРА""",1
