PCA_компания,Тип_судна,Название_судна_латиница
"Preobrazhenskaya Basa of Trawling Fleet (PBTF), PJSC",RKTS,Kapitan Kolesnikov
"Preobrazhenskaya Basa of Trawling Fleet (PBTF), PJSC",BMRT,Ostrov Kunashir
"Proliv Co. Ltd",SRTM,Vilhelm Torsteinsson
"ROLIZ, LLC",BMRT,VLADIMIR STARZHINSKY
"ROLIZ, LLC",BMRT,KAPITAN KAYZER
"Rybak Co. Ltd",-,-
"PA Sakhalinrybaksoyuz, LLC",SRTM,MYS DOKUCHAEVA
"PA Sakhalinrybaksoyuz, LLC",SRTM,MYS LEVENORNA
"PA Sakhalinrybaksoyuz, LLC",SRTM,MYS MENSHIKOVA
"PA Sakhalinrybaksoyuz, LLC",SRTM,IOLANTA
"Sakhalin Leasing Flot, JSC",SRTM,MYS LOVTSOVA
"Sakhalin Leasing Flot, JSC",SRTM,MYS MURAVJEVA
"Sakhalin Leasing Flot, JSC",SRTM,МYS KRUZENSHTERNA
"Sofco Co., Ltd",BMRT,ADMIRAL KOLCHAK
"Sofco Co., Ltd",MRKT,Sergey Bochkarev
"Tikhrybcom Co., Ltd.",SRTM,SEA HUNTER
"Tikhrybcom Co., Ltd.",RTM,Morskoy Volk
"Tralflot, JSC",BMRT,Vasilyevskiy Ostrov
"Tralflot, JSC",MRKT,Petr 1
"TURNIF, JSC",BMRT,Vladivostok
"RMD UVA 1, LLC",BMRT,Mys Basargina
"Fishing company UTRF-Kamchatka, JSC",SRTM,Tenor
"Vostokrybprom, Co., Ltd.",BMRT,Ivan Kalinin
"Vostokrybprom, Co., Ltd.",BMRT,Vladimir Limanov
